Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
29020,21.067,5.5455,0.1,6.0302e-05,602.61,5.9492e-05,580.86,-1.781e-05,0.041161,-2.3325e-05,-41.396,1.8445
29021,21.16,5.4545,0.1,5.8656e-05,586.16,5.7666e-05,560.05,-1.6872e-05,0.0021122,-2.341e-05,-49.126,1.8573
29022,21.067,5.7273,0.1,5.9229e-05,591.88,5.8685e-05,576.93,-1.8089e-05,0.078078,-2.1949e-05,-28.928,1.8442
29023,21.16,5.6364,0.1,5.7365e-05,573.25,5.6679e-05,554.7,-1.7135e-05,0.085593,-2.1877e-05,-35.537,1.857
29024,21.16,5.8182,0.1,5.6353e-05,563.14,5.5931e-05,551.42,-1.7448e-05,0.080979,-2.0496e-05,-22.826,1.8567
29025,21.067,5.9091,0.1,5.7875e-05,578.35,5.7619e-05,571.09,-1.8388e-05,-0.00052819,-2.0286e-05,-14.26,1.8439
29026,21.252,0.27273,0.1,5.4449e-05,544.11,5.3894e-05,528.96,-1.6495e-05,0.084606,-2.0393e-05,-29.201,1.8695
29027,21.344,0.18182,0.1,5.1419e-05,513.84,5.1006e-05,502.4,-1.5846e-05,0.096309,-1.8821e-05,-22.256,1.8821
29028,21.252,0.090909,0.1,5.3045e-05,530.09,5.2797e-05,523.05,-1.6818e-05,-0.0052472,-1.8653e-05,-13.797,1.8692
29029,21.252,0.45455,0.1,5.5703e-05,556.64,5.4843e-05,533.81,-1.6198e-05,0.040885,-2.1951e-05,-43.187,1.8698
29030,21.344,0.36364,0.1,5.2615e-05,525.79,5.1899e-05,506.6,-1.5514e-05,0.08807,-2.0389e-05,-36.546,1.8824
29031,21.252,0.63636,0.1,5.715e-05,571.11,5.5956e-05,540.23,-1.5944e-05,-0.0059412,-2.3585e-05,-57.418,1.8701
29032,21.344,0.54545,0.1,5.4098e-05,540.61,5.3034e-05,512.92,-1.5232e-05,-0.0014806,-2.2109e-05,-51.671,1.8826
29033,21.252,0.81818,0.1,5.8692e-05,586.51,5.7154e-05,547.63,-1.5734e-05,-0.017514,-2.5212e-05,-71.234,1.8703
29034,21.344,0.72727,0.1,5.5724e-05,556.85,5.429e-05,520.53,-1.499e-05,-0.011504,-2.3858e-05,-66.64,1.8829
29035,21.252,1,0.1,6.0268e-05,602.27,5.8391e-05,555.69,-1.5571e-05,-0.028471,-2.6781e-05,-84.257,1.8706
29036,21.344,0.90909,0.1,5.7436e-05,573.97,5.5625e-05,529.09,-1.4796e-05,-0.025961,-2.5587e-05,-81.102,1.8831
29037,21.252,1.1818,0.1,6.1813e-05,617.7,5.9616e-05,564.04,-1.5458e-05,-0.035781,-2.8236e-05,-96.04,1.8708
29038,21.344,1.0909,0.1,5.9167e-05,591.26,5.6987e-05,538.26,-1.4655e-05,-0.034497,-2.7237e-05,-94.571,1.8834
29039,21.252,1.3636,0.1,6.3252e-05,632.08,6.0774e-05,572.29,-1.5398e-05,-0.04128,-2.9517e-05,-106.13,1.871
29040,21.344,1.2727,0.1,6.0832e-05,607.9,5.8316e-05,547.6,-1.4571e-05,-0.041711,-2.8739e-05,-106.49,1.8836
29041,21.252,1.5455,0.1,6.4515e-05,644.71,6.1811e-05,580,-1.5389e-05,-0.044553,-3.0573e-05,-114.13,1.8712
29042,21.344,1.4545,0.1,6.2343e-05,623,5.9544e-05,556.63,-1.4545e-05,-0.046754,-3.0019e-05,-116.32,1.8837
29043,21.252,1.7273,0.1,6.5549e-05,655.03,6.2683e-05,586.84,-1.5427e-05,-0.045366,-3.1367e-05,-119.81,1.8713
29044,21.344,1.6364,0.1,6.362e-05,635.76,6.0609e-05,564.87,-1.4577e-05,-0.049255,-3.102e-05,-123.6,1.8839
29045,21.252,1.9091,0.1,6.6324e-05,662.78,6.3364e-05,592.54,-1.5504e-05,-0.043645,-3.1892e-05,-123.17,1.8715
29046,21.344,1.8182,0.1,6.4608e-05,645.63,6.1466e-05,571.93,-1.466e-05,-0.048686,-3.1709e-05,-128.15,1.8841
29047,21.252,2.0909,0.1,6.6846e-05,668,6.3853e-05,597,-1.5608e-05,-0.039843,-3.2169e-05,-124.47,1.8716
29048,21.344,2,0.1,6.5289e-05,652.44,6.2095e-05,577.58,-1.4782e-05,-0.04506,-3.209e-05,-130.09,1.8842
29049,21.252,2.2727,0.1,6.715e-05,671.03,6.4168e-05,600.24,-1.5723e-05,-0.034847,-3.225e-05,-124.21,1.8717
29050,21.344,2.1818,0.1,6.5689e-05,656.44,6.2508e-05,581.77,-1.4926e-05,-0.039255,-3.2209e-05,-129.89,1.8843
29051,21.252,2.4545,0.1,6.7291e-05,672.44,6.4348e-05,602.42,-1.5834e-05,-0.029757,-3.2204e-05,-123.02,1.8717
29052,21.344,2.3636,0.1,6.5869e-05,658.24,6.2742e-05,584.64,-1.5073e-05,-0.032753,-3.2143e-05,-128.29,1.8844
29053,21.252,2.6364,0.1,6.7333e-05,672.86,6.4434e-05,603.77,-1.5926e-05,-0.025547,-3.2104e-05,-121.59,1.8718
29054,21.344,2.5455,0.1,6.5908e-05,658.63,6.285e-05,586.44,-1.5204e-05,-0.026921,-3.1986e-05,-126.12,1.8844
29055,21.252,2.8182,0.1,6.7332e-05,672.86,6.4468e-05,604.47,-1.5985e-05,-0.022835,-3.2016e-05,-120.47,1.8718
29056,21.344,2.7273,0.1,6.5884e-05,658.38,6.2886e-05,587.45,-1.5301e-05,-0.022703,-3.1824e-05,-124.18,1.8845
29057,21.252,3,0.1,6.7327e-05,672.81,6.4476e-05,604.69,-1.6006e-05,-0.021906,-3.1982e-05,-120.05,1.8718
29058,21.344,2.9091,0.1,6.5856e-05,658.1,6.2893e-05,587.89,-1.5352e-05,-0.020543,-3.1726e-05,-123.05,1.8845
29059,21.252,3.1818,0.1,6.7332e-05,672.86,6.4468e-05,604.47,-1.5985e-05,-0.022834,-3.2016e-05,-120.47,1.8718
29060,21.344,3.0909,0.1,6.5856e-05,658.1,6.2893e-05,587.89,-1.5352e-05,-0.020543,-3.1726e-05,-123.05,1.8845
