NodeIndex,X,Y,Z,Weight,Deformation,CutLocation,TotalWeight
9500,9.2141,5.9091,0,0.0955165463322304,0.67876,1.1,1
8811,11.062,6,0,0.37289938314887,0.91241,1.1,1
30708,11.155,6,0,0.25763957381195,0.92471,1.1,1
29892,11.062,6,0.05,0.225635177216968,0.91239,1.1,1
9540,11.062,5.9091,0,0.143825865822212,0.91296,1.1,1
30686,15.221,6,0,0.575788063249036,1.5113,1.1,1
8789,15.128,6,0,0.167938185114311,1.4971,1.1,1
29936,15.128,6,0.05,0.137939381342576,1.4971,1.1,1
29935,15.221,6,0.1,0.118334370294077,1.5113,1.1,1
30676,17.069,6,0,0.457601967187928,1.8017,1.1,1
8778,17.162,6,0,0.22880098359399,1.8166,1.1,1
29958,17.162,6,0.05,0.17810166907434,1.8165,1.1,1
29955,17.069,6,0.1,0.135495380143741,1.8017,1.1,1
8756,21.228,6,0,0.451721384346697,2.4887,1.1,1
30002,21.228,6,0.05,0.220712590210366,2.4886,1.1,1
30654,21.135,6,0,0.194587673257061,2.4731,1.1,1
9760,21.228,5.9091,0,0.132978352185876,2.4888,1.1,1
30977,5.1389,6,0,0.37944298664288,0.25242,1.2,1
8912,5.0469,6,0,0.27797235744648,0.24452,1.2,1
30056,5.0469,6,0.05,0.20237470770235,0.24448,1.2,1
11614,5.0469,5.9091,0,0.14020994820829,0.24529,1.2,1
8901,7.071,6,0,0.441311226410005,0.43648,1.2,1
30078,7.071,6,0.05,0.221413825509298,0.43645,1.2,1
30966,7.163,6,0,0.203143262950635,0.44607,1.2,1
12681,7.071,5.9091,0,0.134131685130062,0.43719,1.2,1
30955,9.1871,6,0,0.699849940490858,0.6743,1.2,1
8889,9.2791,6,0,0.114134819624932,0.68541,1.2,1
30102,9.2791,6,0.05,0.0964765305011861,0.68538,1.2,1
30099,9.1871,6,0.1,0.0895387093830233,0.6743,1.2,1
8879,11.119,6,0,0.549423087087723,0.91988,1.2,1
30122,11.119,6,0.05,0.195164838630192,0.91985,1.2,1
30945,11.027,6,0,0.143000529515983,0.90763,1.2,1
14815,11.119,5.9091,0,0.112411544766102,0.92042,1.2,1
8857,15.167,6,0,0.407928649781504,1.5041,1.2,1
30922,15.259,6,0,0.228163482081172,1.5182,1.2,1
30166,15.167,6,0.05,0.224704318287017,1.504,1.2,1
16949,15.167,5.9091,0,0.139203549850307,1.5044,1.2,1
30912,17.1,6,0,1,1.808,1.2,1
8846,17.192,6,0,0,1.8228,1.2,1
8847,17.008,6,0,0,1.7933,1.2,1
30185,17.1,6,0.1,0,1.808,1.2,1
8824,21.24,6,0,0.357564505494234,2.4932,1.2,1
30890,21.148,6,0,0.275049619610945,2.4776,1.2,1
30232,21.24,6,0.05,0.223368775763492,2.4932,1.2,1
20150,21.24,5.9091,0,0.144017099131329,2.4933,1.2,1
30978,5.0683,6,0,0.448930573550512,0.24424,1.3,1
8912,5.1607,6,0,0.234449739399522,0.25221,1.3,1
30056,5.1607,6,0.05,0.180961630051385,0.25217,1.3,1
30053,5.0683,6,0.1,0.13565805699858,0.24424,1.3,1
30967,7.1,6,0,1,0.43769,1.3,1
8902,7.0077,6,0,0,0.4281,1.3,1
8901,7.1923,6,0,0,0.44736,1.3,1
30075,7.1,6,0.1,0,0.43769,1.3,1
8890,9.224,6,0,0.490340163767926,0.67726,1.3,1
30100,9.224,6,0.05,0.212185422546993,0.67723,1.3,1
30956,9.1317,6,0,0.172301082436762,0.66613,1.3,1
9918,9.224,5.9091,0,0.12517333124832,0.67788,1.3,1
8880,11.071,6,0,0.441311226410005,0.91223,1.3,1
30120,11.071,6,0.05,0.221413825509298,0.91221,1.3,1
30945,11.163,6,0,0.203143262950635,0.92456,1.3,1
9958,11.071,5.9091,0,0.134131685130062,0.91278,1.3,1
30923,15.227,6,0,0.501042189574886,1.5126,1.3,1
8858,15.134,6,0,0.204971804826101,1.4984,1.3,1
30164,15.134,6,0.05,0.16338141621984,1.4983,1.3,1
30163,15.227,6,0.1,0.130604589379173,1.5126,1.3,1
30913,17.074,6,0,0.510313631529032,1.8036,1.3,1
8847,17.166,6,0,0.20103264272356,1.8184,1.3,1
30186,17.166,6,0.05,0.160241541037599,1.8184,1.3,1
30183,17.074,6,0.1,0.128412184709809,1.8036,1.3,1
8825,21.23,6,0,0.434010457211489,2.4917,1.3,1
30230,21.23,6,0.05,0.223296538046477,2.4917,1.3,1
30891,21.137,6,0,0.206671646291197,2.4761,1.3,1
10178,21.23,5.9091,0,0.136021358450837,2.4918,1.3,1
8913,5.0604,6,0,0.360045911910014,0.24088,1.4,1
30978,5.1523,6,0,0.27261602507909,0.24881,1.4,1
30054,5.0604,6,0.05,0.223539387908968,0.24084,1.4,1
9826,5.0604,5.9091,0,0.143798675101929,0.24165,1.4,1
8902,7.0831,6,0,0.578595371073103,0.43329,1.4,1
30076,7.0831,6,0.05,0.185268464897793,0.43325,1.4,1
30967,7.175,6,0,0.130376823615137,0.44289,1.4,1
9870,7.0831,5.9091,0,0.105759340413968,0.434,1.4,1
30956,9.1977,6,0,0.931919718017881,0.67146,1.4,1
8890,9.2896,6,0,0.0239220463330477,0.68259,1.4,1
8891,9.1057,6,0,0.0227297492199483,0.6604,1.4,1
30097,9.1977,6,0.1,0.0214284864291234,0.67146,1.4,1
8880,11.128,6,0,0.450352119174581,0.91731,1.4,1
30120,11.128,6,0.05,0.220043562634298,0.91728,1.4,1
30946,11.036,6,0,0.197029052138882,0.90505,1.4,1
9958,11.128,5.9091,0,0.13257526605224,0.91785,1.4,1
8858,15.174,6,0,0.469419075223647,1.5019,1.4,1
30164,15.174,6,0.05,0.21656777498638,1.5019,1.4,1
30923,15.266,6,0,0.184922665997191,1.5161,1.4,1
10046,15.174,5.9091,0,0.129090483792782,1.5023,1.4,1
30913,17.105,6,0,0.862446498018238,1.806,1.4,1
8848,17.013,6,0,0.0495658906906936,1.7912,1.4,1
8847,17.196,6,0,0.0449190884384409,1.8208,1.4,1
30183,17.105,6,0.1,0.0430685228526275,1.806,1.4,1
8825,21.242,6,0,0.344515122161422,2.4914,1.4,1
30891,21.15,6,0,0.289392702615601,2.4758,1.4,1
30230,21.242,6,0.05,0.221589400227379,2.4914,1.4,1
10178,21.242,5.9091,0,0.144502774995598,2.4915,1.4,1
30979,5.0813,6,0,0.606775581016133,0.24001,1.5,1
8913,5.1736,6,0,0.154167165285347,0.24798,1.5,1
30054,5.1736,6,0.05,0.127523574038522,0.24794,1.5,1
30051,5.0813,6,0.1,0.111533679659998,0.24001,1.5,1
30968,7.1116,6,0,0.724029299498733,0.43363,1.5,1
8903,7.0193,6,0,0.104073604388919,0.42403,1.5,1
30074,7.0193,6,0.05,0.0884691251327741,0.424,1.5,1
30073,7.1116,6,0.1,0.0834279709795747,0.43363,1.5,1
8891,9.2342,6,0,0.399146687687958,0.67327,1.5,1
30957,9.1419,6,0,0.234953816160557,0.66213,1.5,1
30098,9.2342,6,0.05,0.225344470154164,0.67324,1.5,1
10011,9.2342,5.9091,0,0.140555025997321,0.67389,1.5,1
8881,11.08,6,0,0.536466085558841,0.90825,1.5,1
30118,11.08,6,0.05,0.199238502356733,0.90823,1.5,1
30946,11.172,6,0,0.149018357099673,0.92058,1.5,1
10051,11.08,5.9091,0,0.115277054984753,0.9088,1.5,1
30924,15.233,6,0,0.43746461715423,1.5085,1.5,1
