Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
760	16.207	2.9365	0.1	180.95
761	16.209	4.0981	0.1	181.18
762	17.867	3.5318	0.1	114.62
763	17.317	2.9418	0.1	134.08
764	17.315	4.1098	0.1	134.33
765	18.977	3.5499	0.1	78.486
766	18.424	2.948	0.1	94.426
767	18.422	4.1312	0.1	94.626
768	20.09	3.5714	0.1	49.418
769	19.536	2.9624	0.1	61.889
770	19.535	4.1636	0.1	61.982
771	21.199	3.5862	0.1	27.556
772	20.647	2.9804	0.1	36.497
773	20.647	4.1812	0.1	36.431
774	21.757	2.9905	0.1	18.2
775	21.757	4.1953	0.1	18.013
776	22.313	3.5946	0.1	12.688
777	21.205	2.3848	0.1	27.447
778	22.321	2.3944	0.1	12.558
779	21.764	1.7882	0.1	17.879
780	20.093	2.3714	0.1	49.337
781	20.65	1.7804	0.1	36.318
782	18.983	2.3605	0.1	78.228
783	19.54	1.7711	0.1	61.772
784	17.875	2.3579	0.1	114.3
785	18.429	1.7693	0.1	94.311
786	16.764	2.356	0.1	157.62
787	17.323	1.7669	0.1	134.04
788	15.653	2.3544	0.1	208.18
789	16.208	1.7649	0.1	180.99
790	14.531	2.3537	0.1	266.66
791	15.103	1.7639	0.1	235.31
792	13.383	2.3554	0.1	333.78
793	13.97	1.7643	0.1	297.88
794	12.21	2.3677	0.1	409.92
795	12.82	1.7725	0.1	368.91
796	11.014	2.3797	0.1	496.96
797	11.65	1.7886	0.1	448.9
798	9.7847	2.3742	0.1	595.98
799	10.45	1.7921	0.1	541.52
800	8.5165	2.3923	0.1	719.67
801	9.1952	1.7887	0.1	645.31
802	8.0167	3.0195	0.1	771.35
803	7.8136	1.8165	0.1	764.59
804	7.3349	2.3423	0.1	877.86
805	8.0785	4.2064	0.1	748.77
806	7.6227	3.6538	0.1	854.69
807	2.6903	4.8985	0.1	1244.4
808	3.3297	4.6269	0.1	1244.7
809	3.5836	5.1849	0.1	968.57
810	3.0551	5.5146	0.1	1142.7
811	7.5328	5.0382	0.1	749.49
812	6.5556	5.3865	0.1	673.75
813	6.6319	5.01	0.1	831.71
814	7.2167	5.6427	0.1	726.48
815	8.6697	4.7916	0.1	689.02
816	7.3612	4.5331	0.1	881.93
817	8.2353	5.3955	0.1	714.83
818	9.9382	4.7813	0.1	583.14
819	9.4626	5.3961	0.1	620.58
820	11.109	4.7612	0.1	490.69
821	10.613	5.3852	0.1	531.05
822	12.264	4.7538	0.1	407.66
823	11.743	5.376	0.1	443.68
824	13.415	4.7354	0.1	333.08
825	12.877	5.3778	0.1	366.31
826	14.545	4.6947	0.1	266.53
827	14.002	5.3576	0.1	296.31
828	15.658	4.6762	0.1	208.48
829	15.116	5.337	0.1	234.29
830	16.763	4.6856	0.1	158.12
831	16.224	5.3392	0.1	180.13
832	17.87	4.7091	0.1	114.77
833	17.331	5.3464	0.1	133.14
834	18.979	4.7449	0.1	78.547
835	18.44	5.3627	0.1	93.377
836	20.091	4.7733	0.1	49.412
837	19.549	5.3822	0.1	60.808
838	21.204	4.7904	0.1	27.272
839	20.66	5.3912	0.1	35.152
840	22.322	4.7973	0.1	12.171
841	21.772	5.3992	0.1	16.563
842	22.878	4.1966	0.1	6.5534
843	22.886	5.3981	0.1	4.9186
844	23.441	4.7981	0.1	4.2256
845	22.876	2.9985	0.1	6.8546
846	23.437	3.5985	0.1	4.9854
847	22.881	1.7981	0.1	6.4977
848	23.439	2.4	0.1	4.9423
849	1.4642	2.8981	0.1	1385.5
850	1.3718	1.7743	0.1	1356.7
851	0.73994	2.3642	0.1	1721.6
852	1.3283	4.0731	0.1	1341.3
853	2.1872	3.4194	0.1	1361.
854	0.72425	3.5339	0.1	1725.5
855	22.325	1.1919	0.1	12.111
856	23.442	1.1981	0.1	4.183
857	22.888	0.59809	0.1	4.9086
858	21.21	1.1838	0.1	27.134
859	21.774	0.5938	0.1	16.514
860	20.097	1.1801	0.1	49.175
861	20.663	0.59003	0.1	35.097
862	18.986	1.1799	0.1	78.291
863	19.553	0.5901	0.1	60.664
864	17.878	1.1782	0.1	114.49
865	18.443	0.5898	0.1	93.299
866	16.767	1.1757	0.1	157.85
867	17.335	0.58844	0.1	133.12
868	15.658	1.1744	0.1	208.54
869	16.223	0.58728	0.1	180.11
870	14.541	1.1746	0.1	266.92
871	15.117	0.58714	0.1	234.59
872	13.407	1.1814	0.1	333.35
873	13.998	0.58742	0.1	296.6
874	12.26	1.1933	0.1	408.12
875	12.874	0.59395	0.1	366.42
876	11.086	1.201	0.1	493.61
877	11.742	0.5994	0.1	444.08
878	9.8601	1.2065	0.1	590.99
879	10.591	0.60158	0.1	534.03
880	8.4923	1.2128	0.1	690.6
881	9.4067	0.60494	0.1	627.23
