Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
1023	24.	4.2	0.	1.033e-006
1024	24.	5.4	0.	6.2849e-007
1025	23.444	6.	0.	7.2057e-007
1026	22.332	6.	0.	1.5864e-006
1027	21.219	6.	0.	3.1233e-006
1028	20.107	6.	0.	5.3524e-006
1029	18.995	6.	0.	8.2882e-006
1030	17.882	6.	0.	1.1935e-005
1031	16.77	6.	0.	1.6284e-005
1032	15.658	6.	0.	2.1363e-005
1033	14.546	6.	0.	2.716e-005
1034	13.433	6.	0.	3.3689e-005
1035	12.321	6.	0.	4.1002e-005
1036	11.209	6.	0.	4.9091e-005
1037	10.096	6.	0.	5.7906e-005
1038	8.9842	6.	0.	6.7715e-005
1039	7.8719	6.	0.	7.7502e-005
1040	6.7596	6.	0.	8.5758e-005
1041	5.6474	6.	0.	9.1264e-005
1042	4.5351	6.	0.	8.1696e-005
1043	3.4228	6.	0.	5.5249e-005
1044	2.8667	5.75	0.	4.8314e-005
1045	2.7	1.25	0.	1.9752e-004
1046	2.7	1.75	0.	2.7072e-004
1047	2.7	0.75	0.	1.252e-004
1048	2.7833	2.	0.	3.0332e-004
1049	2.8667	0.75	0.	7.712e-005
1050	2.8667	1.25	0.	1.51e-004
1051	2.8667	1.75	0.	2.291e-004
1052	2.7	4.75	0.	1.9503e-004
1053	2.7	4.25	0.	2.7179e-004
1054	2.7	5.25	0.	1.0737e-004
1055	2.7833	4.	0.	3.0783e-004
1056	2.8667	5.25	0.	8.165e-005
1057	2.8667	4.75	0.	1.7754e-004
1058	2.8667	4.25	0.	2.4841e-004
