Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
314,5.88,1,0,0.00011298,1129,5.8913e-05,180.92,1.3906e-05,-157.24,-0.00010871,-1078.5,0.042209
315,5.88,0.5,0,4.6014e-05,459.83,1.6487e-05,-106.67,2.4196e-06,-212.37,-5.0521e-05,-610.14,0.040975
316,5.88,2,0,0.00029968,2994.8,0.00010946,1.6778,8.0716e-05,-214.27,-0.00030272,-3095.2,0.044688
317,6.0467,0.5,0,3.3259e-05,332.36,1.1724e-05,-81.835,1.6535e-06,-157.5,-3.6678e-05,-445.51,0.044662
318,6.0467,1,0,9.6493e-05,964.27,5.1307e-05,194.82,1.4075e-05,-84.925,-9.1529e-05,-878.39,0.045525
319,6.0467,1.5,0,0.00013599,1358.9,7.2236e-05,337,2.662e-05,-5.7434,-0.00012707,-1160.5,0.046464
320,6.0467,2,0,0.00024317,2430,7.455e-05,-277.93,6.4365e-05,-354.45,-0.00025383,-2745.3,0.047384
321,5.88,4.5,0,0.00013594,1358.5,9.4119e-05,621.22,7.7658e-06,-27.6,-0.00011367,-940.02,0.043728
322,5.88,5,0,0.00010581,1057.4,6.74e-05,380.79,8.5677e-06,-61.26,-9.3196e-05,-825.87,0.04254
323,5.88,5.5,0,2.5805e-05,257.87,9.66e-06,-91.642,-2.9889e-06,-186.68,-2.919e-05,-383.55,0.041409
324,5.88,4,0,0.0002877,2875,0.00012456,-190.13,2.0419e-05,-972.57,-0.00029938,-3375.4,0.044772
325,6.0467,5.5,0,4.0572e-05,405.44,1.2995e-05,-76.512,6.8846e-06,-122.42,-4.376e-05,-502.95,0.04473
326,6.0467,5,0,7.7345e-05,772.91,2.3641e-05,-75.074,2.1829e-05,-88.692,-8.0122e-05,-854.71,0.045549
327,6.0467,4.5,0,0.00014766,1475.5,5.7252e-05,21.812,3.5749e-05,-139.76,-0.000149,-1527.9,0.046443
328,6.0467,4,0,0.00042814,4278.4,0.00015669,-194.16,9.5924e-05,-650.75,-0.00044068,-4682.6,0.047415
329,7.0252,2.701,0,0.00012189,1218,4.3228e-05,37.739,3.8569e-05,2.7308,-0.00012116,-1197.4,0.065623
330,6.2819,2.787,0,0.00015311,1530,7.2758e-05,307.51,3.979e-05,59.807,-0.00014534,-1331.2,0.052192
331,7.1157,3.2045,0,0.00011385,1137.7,4.0559e-05,65.722,3.853e-05,50.472,-0.00011187,-1079.5,0.067405
332,6.6239,3.1992,0,0.00014015,1400.5,5.3924e-05,95.162,4.1804e-05,4.0936,-0.00013824,-1348.7,0.058191
333,6.7268,2.8082,0.05,3.3741e-06,33.718,2.5909e-06,19.467,-1.7427e-14,6.5246e-07,-2.5909e-06,-19.467,0.060042
334,6.3867,2.4041,0,0.00018072,1805.9,5.7085e-05,-116.29,5.3294e-05,-144.77,-0.00018514,-1936.3,0.053765
335,5.9613,3.0973,0,0.0001828,1826.8,8.8751e-05,358.23,4.295e-05,14.097,-0.00017402,-1616.1,0.04691
336,6.02,3.5487,0,0.0002282,2280.4,0.00010467,389.02,5.9652e-05,50.737,-0.00021883,-2041.7,0.047616
337,5.7927,3.3985,0,0.00017628,1761.6,6.8864e-05,110.56,4.9855e-05,-32.265,-0.00017451,-1718.1,0.044156
338,6.3032,3.5096,0,0.00017094,1708.3,7.2059e-05,161.98,4.3951e-05,-49.218,-0.00016804,-1642.1,0.052391
339,6.0855,3.429,0.05,1.3961e-05,139.51,1.072e-05,80.548,-9.82e-21,8.7964e-07,-1.072e-05,-80.548,0.048769
340,7.693,2.7905,0,9.3131e-05,930.67,3.7503e-05,3.0204,1.8887e-05,-136.85,-9.4616e-05,-989.67,0.07891
341,7.2882,2.3103,0,9.9812e-05,997.43,3.8775e-05,-26.928,1.9962e-05,-168.28,-0.00010238,-1087.5,0.07064
342,7.3236,2.5939,0.05,4.1511e-06,41.483,3.1876e-06,23.95,-1.2991e-13,3.2212e-07,-3.1876e-06,-23.95,0.071412
343,5.5115,2.9344,0,0.00016926,1691.4,7.1246e-05,184.71,4.6074e-05,-4.4263,-0.0001654,-1593.3,0.040056
344,5.837,2.7657,0.05,6.8577e-06,68.529,5.2658e-06,39.565,5.8556e-14,-1.7417e-08,-5.2658e-06,-39.565,0.044897
345,5.8585,2.3829,0,0.00023131,2311.5,9.755e-05,209.59,5.8454e-05,-84.164,-0.00022777,-2234.7,0.044958
346,7.1632,3.8289,0,9.3795e-05,937.3,3.3901e-05,17.188,2.7466e-05,-31.164,-9.3939e-05,-943.35,0.06817
347,6.9289,4.3752,0,8.4982e-05,849.24,3.3606e-05,51.132,2.3092e-05,-27.869,-8.431e-05,-834.85,0.063271
