Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
123,5.149,3.2802,0,0.00022326,2231,8.4703e-05,151.53,6.8707e-05,31.346,-0.0002199,-2137.1,0.032254
124,5.1842,3.4309,0.05,3.5077e-05,350.53,2.6935e-05,202.38,1.0151e-12,5.5722e-06,-2.6935e-05,-202.38,0.032547
125,5.1421,3.7154,0,0.0002993,2990.9,0.00012353,-0.47557,5.3886e-05,-523.78,-0.00030476,-3218.5,0.031535
126,6.2238,3.5645,0,0.00011172,1116.4,5.648e-05,241.65,2.4093e-05,-1.6907,-0.00010563,-976.37,0.048715
127,5.5518,3.2334,0,0.00016969,1695.7,8.2343e-05,280.13,3.4622e-05,-78.428,-0.00016339,-1566.2,0.038149
128,5.7301,3.2027,0.05,1.1562e-05,115.54,8.878e-06,66.706,-1.8832e-21,8.3734e-06,-8.878e-06,-66.706,0.040948
129,5.4984,2.6014,0,0.00019469,1945.6,5.8723e-05,-249.24,5.0722e-05,-309.36,-0.00020413,-2224.2,0.037623
130,5.4984,3.6014,0,0.00024868,2485.1,7.894e-05,-164.92,7.2226e-05,-215.36,-0.00025511,-2674.9,0.036874
131,19.317,3.0273,0,8.7282e-06,87.222,3.6108e-06,5.4958,2.1012e-06,-5.8469,-8.6786e-06,-86.842,0.36055
132,20.878,3,0.05,2.3711e-07,2.3695,1.8207e-07,1.368,1.4211e-13,2.5034e-06,-1.8207e-07,-1.368,0.40322
133,20.878,1.5,0,4.6689e-06,46.657,2.4228e-06,7.4481,5.9721e-07,-6.2689,-4.495e-06,-44.53,0.40421
134,22.439,3,0,2.9522e-06,29.502,1.3023e-06,0.25863,3.9116e-07,-6.587,-2.9997e-06,-32.064,0.44609
135,20.878,4.5,0,4.6737e-06,46.705,2.4767e-06,7.9034,5.3391e-07,-6.6941,-4.4787e-06,-44.357,0.40213
136,16.203,3.0273,0,1.949e-05,194.76,6.5106e-06,-3.3117,5.9929e-06,-7.202,-1.9666e-05,-199.99,0.27681
137,17.756,3.0545,0.05,2.6749e-07,2.673,2.054e-07,1.5433,2.2729e-13,2.6216e-06,-2.054e-07,-1.5433,0.31824
138,17.756,1.5273,0,1.2935e-05,129.26,5.1629e-06,7.75,3.4244e-06,-5.3129,-1.2844e-05,-127.55,0.3192
139,17.756,4.5273,0,1.2924e-05,129.15,4.8899e-06,4.7051,3.6174e-06,-4.8561,-1.29e-05,-128.96,0.31709
140,13.114,3.0018,0,3.4954e-05,349.3,1.2617e-05,1.0791,9.765e-06,-20.348,-3.5233e-05,-358.44,0.1974
141,14.65,3.0001,0.05,3.1145e-07,3.1124,2.3916e-07,1.7969,6.1604e-14,2.4367e-06,-2.3916e-07,-1.7969,0.23626
142,14.642,1.5001,0,2.6313e-05,262.94,8.8053e-06,-6.4589,7.8805e-06,-13.407,-2.6644e-05,-272.81,0.23693
143,14.642,4.5001,0,2.6168e-05,261.5,8.8953e-06,-6.5125,7.5893e-06,-16.325,-2.6542e-05,-272.78,0.23481
144,10.118,2.7359,0,4.7149e-05,471.17,1.9057e-05,2.3719,9.5116e-06,-69.347,-4.7877e-05,-500.54,0.12687
145,11.578,3.0035,0.05,1.6071e-06,16.06,1.234e-06,9.272,-2.6176e-22,1.4514e-06,-1.234e-06,-9.272,0.16016
146,11.545,1.5018,0,4.495e-05,449.19,1.7052e-05,14.187,1.2294e-05,-21.567,-4.4969e-05,-451.82,0.16019
147,11.545,4.5018,0,4.407e-05,440.4,1.7795e-05,15.374,1.0218e-05,-41.553,-4.4239e-05,-450.72,0.15804
148,6.8593,3.4868,0,7.9589e-05,795.34,3.8399e-05,193.24,2.289e-05,76.715,-7.4353e-05,-653.93,0.06001
149,6.7174,3.9263,0.05,6.8442e-06,68.395,5.2555e-06,39.488,1.4496e-12,7.6039e-06,-5.2555e-06,-39.488,0.057025
150,7.5531,4.9632,0,6.2565e-05,625.22,2.5427e-05,54.305,1.735e-05,-6.3819,-6.1529e-05,-599.05,0.071444
151,5.992,4.4632,0,7.7143e-05,770.89,2.8733e-05,-49.985,1.4894e-05,-153.97,-8.0084e-05,-867.59,0.043573
152,5.992,4.2132,0,0.00011658,1165,3.9458e-05,-25.949,3.4395e-05,-63.991,-0.00011807,-1209.5,0.043959
