Strain 1 (in/in),Strain 2 (in/in),Strain 3 (in/in),Strain 4 (in/in),Strain 5 (in/in),Strain 6 (in/in),Strain 7 (in/in),CutLocation
0.000247052446578491,0.000343213086107229,0.000285513300968992,0.000267710219389687,0.000161691825486825,0.000137036327566025,4.75839645030745e-05,4.1
0.000221731935002393,0.000326033485562885,0.000300998114739226,0.000250845720083782,0.000179898479844369,0.000134783758495441,4.81837195233085e-05,4.2
0.000181289517655359,0.000320927716108568,0.000295070993732521,0.000302806144978352,0.000159240283496466,0.000142021862288899,4.76177143419089e-05,4.3
0.0001426183876754,0.000309482931983522,0.000288225807271363,0.00026226630547611,0.00019988,0.000130951212380799,4.83626286784358e-05,4.4
0.000120319929559067,0.000306728552233568,0.000310620556647388,0.000265147851293545,0.00015796251874992,0.000153208206032242,4.7634378848764e-05,4.5
9.03514835451672e-05,0.000334225838637606,0.000331653681424897,0.000244038594581521,0.000178632518024332,0.000126093822232654,4.80440043077926e-05,4.6
6.12979216054802e-05,0.000302573202377246,0.00033336632346211,0.000247231947364664,0.000158127535412118,0.00015308061271522,4.76816707971913e-05,4.7
4.04253195074526e-05,0.000352391041555452,0.000295483379807861,0.000241817369416331,0.000172939461726297,0.000128515375199366,4.78939674660746e-05,4.8
1.46767157779324e-05,0.000317629037582844,0.000359943105122059,0.000241689794267908,0.000160754190997483,0.000144783062265212,4.78263662843687e-05,4.9
6.52083126417716e-06,0.000363854785842291,0.000281976886239408,0.000244919774347291,0.000167053997180905,0.000131686779655272,4.7757424358225e-05,5
7.6042e-06,0.000336343119038414,0.000320332718008741,0.00024322078401681,0.000166116439249357,0.000139370533732807,4.7942472340751e-05,5.1
3.48487431044235e-05,0.000303562268641035,0.000280580659350361,0.000258533412100506,0.000163080162370508,0.000135595680933274,4.76037352962234e-05,5.2
6.51788865815776e-05,0.000275899937907971,0.000298643749078847,0.000249561920945013,0.000177846760734272,0.000134801109774313,4.81843430274413e-05,5.3
9.5285984033498e-05,0.000268485929171931,0.000286695012320844,0.000292730806246828,0.000160162014855215,0.000139499024946806,4.76152289089132e-05,5.4
0.000118443771561753,0.000248256054913206,0.000284008101625602,0.000262127758711813,0.00019994,0.000130956449758302,4.83608501668383e-05,5.5
0.000148151569452905,0.00023862491109111,0.000299801022361814,0.00027339842170742,0.000158204858248228,0.000145116057275513,4.76127522245567e-05,5.6
0.000168638062752646,0.000231277875671836,0.000276814401487948,0.000279378285658178,0.000177836817750704,0.000127619870271529,4.86913995215378e-05,5.7
0.000193413539632784,0.000214917822837838,0.000319387677188745,0.000250207599403925,0.000157907808532025,0.00015314938728478,4.76900484420603e-05,5.8
0.000222260813597697,0.000226272805272883,0.000305783866039888,0.000242094946708262,0.000176574111284696,0.000126980353366247,4.79461478213943e-05,5.9
0.000253927980655936,0.000199263070634085,0.000349889985261744,0.000241570256182391,0.000159801592677335,0.000145868441993187,4.77634305890007e-05,6
0.000275412052435594,0.000215527986316082,0.000277950192493141,0.000241437052252933,0.000169943742442135,0.000129988996026336,4.78196138445249e-05,6.1
0.000300370181770671,0.000190597617707522,0.000311850392791624,0.000242251458585185,0.000165145577948545,0.000140231451255947,4.7945628041232e-05,6.2
0.000287460909850271,0.000157095027389033,0.000268328192498803,0.000249809937640519,0.000164998068745261,0.000133569992415877,4.76338742648087e-05,6.3
0.00029407971057704,0.000124039157809029,0.000285783033571166,0.000248535808006288,0.000177925000644378,0.000135402188897547,4.81704788711553e-05,6.4
0.000300587667117797,0.000104617638867494,0.000268113722156524,0.000272446764376028,0.000161291754594737,0.00013783489054575,4.76223649236719e-05,6.5
0.00030581286533977,7.87199638876647e-05,0.000266860258445913,0.000260892489254115,0.00020004,0.000130969586577199,4.83583495625919e-05,6.6
0.00031707192409912,5.341325625774e-05,0.00027378726036946,0.000286731709796275,0.000158755684245251,0.000143060871800352,4.75670138080062e-05,6.7
0.000325543039053831,3.50863131902658e-05,0.0002554839249378,0.000279468788680032,0.00017598460169858,0.000127255748591932,4.86863028322847e-05,6.8
0.000348882082067587,1.28079679957068e-05,0.000284884569740222,0.000252718959452291,0.000157841605596278,0.000153228026045127,4.76507959950843e-05,6.9
0.000351116473435975,5.66283247753911e-06,0.00030779699163911,0.000242941283530434,0.000181774112163961,0.00012537498162188,4.81771287624008e-05,7
0.000417782277243825,6.2927e-06,0.000309955698608894,0.000240185037029284,0.000159428672416451,0.000153087830575593,4.77687206340649e-05,7.1
0.000379774741483362,3.04809272538094e-05,0.000253129379753906,0.000238481324349222,0.000173901611205748,0.000128040998370168,4.78568896547932e-05,7.2
0.000389137530425507,5.45279564813272e-05,0.000270185460361037,0.000238452514520624,0.000164255450302865,0.000141136123629187,4.79436339054325e-05,7.3
0.000412803578152691,8.34138942105162e-05,0.000227354455673972,0.000240446980230788,0.000167649099083481,0.000131724699484281,4.77518310550193e-05,7.4
0.000365739444482237,0.000100023001841181,0.000235330839726199,0.000243760454828179,0.000176045616824999,0.000135543919960351,4.80832454836076e-05,7.5
0.00036123714564656,0.000125691088377991,0.000212612139118495,0.000254467450183624,0.000162713120648736,0.000135737118320729,4.76392961400203e-05,7.6
0.000362645079591781,0.000143826070780811,0.000205977378403325,0.000255084598709005,0.00020018,0.000130988823261689,4.83550111112253e-05,7.7
0.000375766005833312,0.000164429069054289,0.000199449300333624,0.00029941,0.000159534824993815,0.000141201786609947,4.75570104118995e-05,7.8
0.000369315362909628,0.000192055077015181,0.000182463726044445,0.000273229909083953,0.000176058279610573,0.000127158691065093,4.86789550795175e-05,7.9
0.000413913290848801,0.000217325146465651,0.000188373662556093,0.000252130339381622,0.000157894331929116,0.00015333290879206,4.76193144063983e-05,8
0.000381907025551641,0.000241876281767206,0.000165123705736546,0.000294500764106197,0.000163328996648044,0.000124397245615483,4.92281006375627e-05,8.1
