Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Stress (Pa)
318	0.11155	8.2623e-002	1.27e-003	2.173e-003
319	0.10895	9.2112e-002	0.	-1.7095e+006
320	7.8897e-002	6.9115e-002	0.	-1.4811e+005
321	0.10144	6.472e-002	0.	1.5833e+006
322	9.4635e-002	6.7658e-002	1.27e-003	1.1037e-002
323	9.8372e-002	5.9229e-002	0.	-1.9339e+006
324	6.3417e-002	9.7401e-002	0.	-1.9768e+006
325	7.25e-002	0.11196	0.	-6.8428e+005
326	8.087e-002	0.10195	0.	-1.5297e+006
327	8.2935e-002	9.2738e-002	0.	-6.7775e+005
328	7.4707e-002	9.842e-002	1.27e-003	-1.427e-011
329	0.13755	4.3042e-002	0.	-4.2921e+005
330	0.16013	4.5539e-002	0.	-7.2921e+005
331	0.14361	6.4313e-002	0.	-1.8518e+006
332	0.1442	5.2257e-002	1.27e-003	5.8705e-002
333	0.12527	5.1529e-002	0.	-3.2395e+006
334	0.14167	2.836e-002	0.	-2772.9
335	0.12677	2.9311e-002	0.	1.7092e+005
336	0.1309	3.3828e-002	1.27e-003	7.0634e-003
337	0.11862	3.5964e-002	0.	3.9865e+005
338	5.7643e-002	8.3477e-002	0.	-2.7141e+006
339	4.6546e-002	6.7376e-002	0.	-2.6594e+006
340	6.4393e-002	5.9544e-002	0.	-2.5256e+006
341	7.716e-002	7.8814e-002	0.	-1.519e+006
342	6.3158e-002	7.0572e-002	1.27e-003	3.2721e-003
343	7.9278e-002	0.13088	0.	96019
344	8.9727e-002	0.12946	0.	24308
345	8.8263e-002	0.13625	1.27e-003	-5.6565e-011
346	8.8804e-002	0.14432	0.	-2.4452e+005
347	9.5185e-002	0.13797	0.	-2.6575e+005
348	9.2989e-002	0.1183	0.	35857
349	9.091e-002	0.1097	0.	-9.0215e+005
350	9.4788e-002	0.11391	1.27e-003	1.6517e-002
351	9.8448e-002	0.11411	0.	79421
352	0.13084	0.12265	0.	47596
353	0.14702	0.12443	0.	42380
354	0.13995	0.10916	0.	-5.4324e+005
355	0.13603	0.11748	1.27e-003	7.0114e-002
356	0.12118	0.11589	0.	1.6328e+005
357	0.12828	0.13331	0.	-61447
358	0.12565	0.12782	1.27e-003	8.5264e-003
359	0.116	0.12741	0.	-3.4325e+005
360	6.9225e-002	1.6425e-002	0.	-1.0648e+005
361	8.3462e-002	1.8651e-002	0.	32653
362	8.1225e-002	1.3432e-002	1.27e-003	-6.7667e-011
363	7.8903e-002	6.7162e-003	0.	-10769
364	9.1667e-002	1.3066e-002	0.	-4.6487e+005
365	6.6664e-002	2.6132e-002	0.	-4.6205e+005
366	8.0902e-002	2.8358e-002	0.	-25300
367	7.0866e-002	4.0681e-002	0.	-1.2981e+006
368	7.6105e-002	3.2847e-002	1.27e-003	-1.6318e-010
369	8.9106e-002	3.5474e-002	0.	1.475e+005
370	0.1397	1.9088e-002	0.	84837
371	0.1248	2.0039e-002	0.	86774
372	0.12696	1.5282e-002	1.27e-003	-6.4877e-011
373	0.13063	7.641e-003	0.	3374.3
374	0.11665	1.3991e-002	0.	-2.0989e+005
375	0.14446	0.13509	0.	29554
376	0.13091	0.13881	1.27e-003	4.8946e-003
377	0.13343	0.1456	0.	-11057
378	0.11863	0.13925	0.	-4.3293e+005
379	4.5318e-002	2.657e-002	0.	-9.7905e+005
380	5.7224e-002	1.9418e-002	1.27e-003	1.1299e-002
381	5.4139e-002	9.7088e-003	0.	-3.7567e+005
382	3.9517e-002	9.4629e-002	0.	-2.4285e+006
383	5.0701e-002	0.11039	0.	-1.938e+006
384	5.2128e-002	9.6383e-002	1.27e-003	-5.9657e-003
385	2.8421e-002	7.8527e-002	0.	-2.3849e+006
386	3.1673e-002	4.8951e-002	0.	-1.9658e+006
387	2.9935e-002	6.418e-002	1.27e-003	1.5939e-004
388	1.4967e-002	6.257e-002	0.	-4.8016e+006
389	2.5939e-002	0.10781	0.	-1.9728e+006
390	2.6907e-002	9.2875e-002	1.27e-003	4.69e-003
391	1.3454e-002	9.2157e-002	0.	-4.6918e+006
392	0.16425	3.0857e-002	0.	-3.7312e+005
393	0.15244	2.2893e-002	1.27e-003	-3.5585e-003
394	0.15735	1.1447e-002	0.	-85619
395	0.19465	3.8835e-002	0.	-3.1112e+005
396	0.1784	5.7715e-002	0.	-5.2901e+005
397	0.17606	3.8821e-002	1.27e-003	-3.7536e-003
398	0.18314	1.941e-002	0.	-16838
399	0.22934	3.875e-002	0.	-1.7959e+005
400	0.21332	5.7562e-002	0.	-2.7461e+005
401	0.21325	3.885e-002	1.27e-003	2.7386e-003
402	0.21571	1.9425e-002	0.	-1.9508e+005
403	0.26061	3.8639e-002	0.	-67826
404	0.24574	5.7554e-002	0.	-1.3912e+005
405	0.24543	3.865e-002	1.27e-003	8.9248e-003
406	0.24578	1.9325e-002	0.	-77386
407	0.29064	3.8896e-002	0.	-13856
408	0.27658	5.7479e-002	0.	-45224
409	0.2758	3.8629e-002	1.27e-003	4.4695e-003
410	0.27495	1.9314e-002	0.	-24370
411	0.32007	4.0168e-002	0.	-7537.3
412	0.30667	5.8286e-002	0.	-14111
413	0.30549	3.9163e-002	1.27e-003	7.4031e-003
414	0.30377	1.9582e-002	0.	-10340
415	0.34732	3.9031e-002	0.	-7041.2
416	0.33654	5.9498e-002	0.	386.57
417	0.33465	4.1173e-002	1.27e-003	8.5927e-003
418	0.33233	2.0587e-002	0.	-16536
419	0.3727	3.3665e-002	0.	-15646
420	0.36552	5.7125e-002	0.	-2072.
421	0.35999	3.689e-002	1.27e-003	1.6493e-002
422	0.35898	1.8445e-002	0.	-8430.6
423	0.39939	2.9476e-002	0.	-10715
424	0.38728	4.2927e-002	0.	1591.1
425	0.3854	3.044e-002	1.27e-003	1.0096e-002
426	0.38567	1.522e-002	0.	-5751.2
427	0.42673	2.8687e-002	0.	-751.88
428	0.41211	4.3633e-002	0.	9349.9
429	0.41339	2.8513e-002	1.27e-003	2.0671e-002
430	0.41364	1.4256e-002	0.	-2870.1
431	0.45405	2.9349e-002	0.	136.69
