Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Elastic Strain (m/m)
379	4.5318e-002	2.657e-002	0.	5.7855e-005
380	5.7224e-002	1.9418e-002	1.27e-003	3.8541e-006
381	5.4139e-002	9.7088e-003	0.	4.5109e-005
382	3.9517e-002	9.4629e-002	0.	7.1994e-005
383	5.0701e-002	0.11039	0.	5.0889e-005
384	5.2128e-002	9.6383e-002	1.27e-003	1.2589e-006
385	2.8421e-002	7.8527e-002	0.	8.8659e-005
386	3.1673e-002	4.8951e-002	0.	8.1517e-005
387	2.9935e-002	6.418e-002	1.27e-003	1.9806e-006
388	1.4967e-002	6.257e-002	0.	4.4008e-005
389	2.5939e-002	0.10781	0.	8.3975e-005
390	2.6907e-002	9.2875e-002	1.27e-003	1.9837e-006
391	1.3454e-002	9.2157e-002	0.	4.4641e-005
392	0.16425	3.0857e-002	0.	2.8842e-005
393	0.15244	2.2893e-002	1.27e-003	1.8278e-006
394	0.15735	1.1447e-002	0.	2.7011e-005
395	0.19465	3.8835e-002	0.	2.7292e-005
396	0.1784	5.7715e-002	0.	2.9175e-005
397	0.17606	3.8821e-002	1.27e-003	1.1035e-006
398	0.18314	1.941e-002	0.	2.6853e-005
399	0.22934	3.875e-002	0.	2.2786e-005
400	0.21332	5.7562e-002	0.	2.5715e-005
401	0.21325	3.885e-002	1.27e-003	5.7669e-007
402	0.21571	1.9425e-002	0.	2.4659e-005
403	0.26061	3.8639e-002	0.	1.8395e-005
404	0.24574	5.7554e-002	0.	2.0151e-005
405	0.24543	3.865e-002	1.27e-003	4.1577e-007
406	0.24578	1.9325e-002	0.	2.0086e-005
407	0.29064	3.8896e-002	0.	1.5354e-005
408	0.27658	5.7479e-002	0.	1.6887e-005
409	0.2758	3.8629e-002	1.27e-003	4.9556e-007
410	0.27495	1.9314e-002	0.	1.6925e-005
411	0.32007	4.0168e-002	0.	1.2819e-005
412	0.30667	5.8286e-002	0.	1.3821e-005
413	0.30549	3.9163e-002	1.27e-003	4.7477e-007
414	0.30377	1.9582e-002	0.	1.4133e-005
415	0.34732	3.9031e-002	0.	1.0876e-005
416	0.33654	5.9498e-002	0.	1.1574e-005
417	0.33465	4.1173e-002	1.27e-003	3.3759e-007
418	0.33233	2.0587e-002	0.	1.1817e-005
419	0.3727	3.3665e-002	0.	9.1781e-006
420	0.36552	5.7125e-002	0.	9.5419e-006
421	0.35999	3.689e-002	1.27e-003	4.5841e-007
422	0.35898	1.8445e-002	0.	1.0241e-005
423	0.39939	2.9476e-002	0.	7.482e-006
424	0.38728	4.2927e-002	0.	8.7771e-006
425	0.3854	3.044e-002	1.27e-003	5.2659e-007
426	0.38567	1.522e-002	0.	8.6009e-006
427	0.42673	2.8687e-002	0.	6.0176e-006
428	0.41211	4.3633e-002	0.	6.7294e-006
429	0.41339	2.8513e-002	1.27e-003	3.9368e-007
430	0.41364	1.4256e-002	0.	6.6688e-006
431	0.45405	2.9349e-002	0.	4.6808e-006
432	0.43894	4.4331e-002	0.	5.536e-006
433	0.44007	2.8861e-002	1.27e-003	3.0879e-007
434	0.44096	1.443e-002	0.	5.2859e-006
435	0.48219	2.9895e-002	0.	3.5005e-006
436	0.467	4.4995e-002	0.	4.2093e-006
437	0.46804	2.9836e-002	1.27e-003	2.4346e-007
438	0.46892	1.4918e-002	0.	4.0457e-006
439	0.51047	3.0016e-002	0.	2.5351e-006
440	0.49544	4.5162e-002	0.	3.0856e-006
441	0.49633	2.9953e-002	1.27e-003	1.7315e-007
442	0.49705	1.4976e-002	0.	2.9854e-006
443	0.53877	3.0153e-002	0.	1.7788e-006
444	0.52395	4.5314e-002	0.	2.2121e-006
445	0.52461	3.008e-002	1.27e-003	1.2925e-007
446	0.52516	1.504e-002	0.	2.106e-006
447	0.5671	3.0313e-002	0.	1.2316e-006
448	0.55246	4.538e-002	0.	1.575e-006
449	0.55292	3.0227e-002	1.27e-003	8.9196e-008
450	0.5533	1.5113e-002	0.	1.4207e-006
451	0.58103	4.568e-002	0.	1.168e-006
452	0.58128	3.0399e-002	1.27e-003	5.8933e-008
453	0.58146	1.52e-002	0.	9.1652e-007
454	0.59544	3.044e-002	0.	8.9091e-007
455	3.7123e-002	0.12357	0.	6.2871e-005
456	2.4972e-002	0.12275	1.27e-003	1.459e-006
457	2.5249e-002	0.13758	0.	7.1665e-005
458	1.2486e-002	0.12234	0.	3.9371e-005
459	0.5805	7.6134e-002	0.	1.351e-006
460	0.56639	6.0747e-002	0.	1.5527e-006
461	0.58079	6.096e-002	1.27e-003	5.7308e-008
462	0.5952	6.096e-002	0.	1.2635e-006
463	0.58006	0.10658	0.	1.1744e-006
464	0.56561	9.1209e-002	0.	1.5628e-006
465	0.5802	9.1307e-002	1.27e-003	5.9139e-008
466	0.5949	9.1374e-002	0.	1.262e-006
467	0.56511	0.12179	0.	1.2581e-006
468	0.57991	0.12185	1.27e-003	6.1573e-008
469	0.59475	0.12188	0.	8.9293e-007
470	0.57995	0.13712	0.	9.3592e-007
471	0.53572	0.1217	0.	1.8364e-006
472	0.55067	0.10642	0.	1.6045e-006
473	0.55031	0.12174	1.27e-003	9.1928e-008
474	0.55035	0.13707	0.	1.4698e-006
475	0.50646	0.1216	0.	2.6246e-006
476	0.52158	0.1064	0.	2.2642e-006
477	0.52112	0.12166	1.27e-003	1.33e-007
478	0.52096	0.13703	0.	2.1842e-006
479	0.4771	0.12149	0.	3.6078e-006
480	0.4924	0.10629	0.	3.1603e-006
481	0.49181	0.12154	1.27e-003	1.7581e-007
482	0.4915	0.13697	0.	3.0992e-006
483	0.44755	0.12129	0.	4.8093e-006
484	0.46316	0.10618	0.	4.268e-006
485	0.4624	0.12144	1.27e-003	2.7132e-007
486	0.46199	0.13692	0.	4.2062e-006
487	0.41723	0.1201	0.	6.4436e-006
488	0.43372	0.10582	0.	5.5904e-006
489	0.4327	0.12114	1.27e-003	3.9984e-007
490	0.43234	0.13677	0.	5.5731e-006
491	0.38649	0.11747	0.	8.4235e-006
492	0.40316	0.10401	0.	7.4933e-006
493	0.40175	0.11906	1.27e-003	3.2792e-007
494	0.40206	0.13573	0.	7.5448e-006
495	0.35615	0.11554	0.	1.0418e-005
496	0.37114	9.6621e-002	0.	9.1953e-006
