Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent Elastic Strain (m/m)
331	0.14361	6.4313e-002	0.	1.1044e-004
332	0.1442	5.2257e-002	1.27e-003	7.8666e-006
333	0.12527	5.1529e-002	0.	2.3e-004
334	0.14167	2.836e-002	0.	9.5929e-005
335	0.12677	2.9311e-002	0.	8.5225e-005
336	0.1309	3.3828e-002	1.27e-003	1.6178e-005
337	0.11862	3.5964e-002	0.	1.2231e-004
338	5.7643e-002	8.3477e-002	0.	1.4079e-004
339	4.6546e-002	6.7376e-002	0.	1.5032e-004
340	6.4393e-002	5.9544e-002	0.	1.4342e-004
341	7.716e-002	7.8814e-002	0.	1.6897e-004
342	6.3158e-002	7.0572e-002	1.27e-003	4.7694e-006
343	7.9278e-002	0.13088	0.	1.0017e-004
344	8.9727e-002	0.12946	0.	9.7893e-005
345	8.8263e-002	0.13625	1.27e-003	6.7037e-006
346	8.8804e-002	0.14432	0.	6.837e-005
347	9.5185e-002	0.13797	0.	6.694e-005
348	9.2989e-002	0.1183	0.	1.5321e-004
349	9.091e-002	0.1097	0.	1.8288e-004
350	9.4788e-002	0.11391	1.27e-003	3.2688e-005
351	9.8448e-002	0.11411	0.	2.1335e-004
352	0.13084	0.12265	0.	8.3577e-005
353	0.14702	0.12443	0.	9.2669e-005
354	0.13995	0.10916	0.	1.0198e-004
355	0.13603	0.11748	1.27e-003	1.3022e-005
356	0.12118	0.11589	0.	1.1401e-004
357	0.12828	0.13331	0.	6.9882e-005
358	0.12565	0.12782	1.27e-003	1.8799e-006
359	0.116	0.12741	0.	9.0873e-005
360	6.9225e-002	1.6425e-002	0.	1.0896e-004
361	8.3462e-002	1.8651e-002	0.	9.3414e-005
362	8.1225e-002	1.3432e-002	1.27e-003	8.0196e-006
363	7.8903e-002	6.7162e-003	0.	9.0533e-005
364	9.1667e-002	1.3066e-002	0.	6.8059e-005
365	6.6664e-002	2.6132e-002	0.	1.2881e-004
366	8.0902e-002	2.8358e-002	0.	1.1035e-004
367	7.0866e-002	4.0681e-002	0.	1.3635e-004
368	7.6105e-002	3.2847e-002	1.27e-003	1.9339e-005
369	8.9106e-002	3.5474e-002	0.	1.4812e-004
370	0.1397	1.9088e-002	0.	7.7044e-005
371	0.1248	2.0039e-002	0.	7.1112e-005
372	0.12696	1.5282e-002	1.27e-003	7.6889e-006
373	0.13063	7.641e-003	0.	6.8412e-005
374	0.11665	1.3991e-002	0.	5.0014e-005
375	0.14446	0.13509	0.	7.7055e-005
376	0.13091	0.13881	1.27e-003	6.6467e-006
377	0.13343	0.1456	0.	6.5637e-005
378	0.11863	0.13925	0.	5.228e-005
379	4.5318e-002	2.657e-002	0.	1.3093e-004
380	5.7224e-002	1.9418e-002	1.27e-003	5.0192e-006
381	5.4139e-002	9.7088e-003	0.	1.2806e-004
382	3.9517e-002	9.4629e-002	0.	1.4217e-004
383	5.0701e-002	0.11039	0.	1.2919e-004
384	5.2128e-002	9.6383e-002	1.27e-003	1.6394e-006
385	2.8421e-002	7.8527e-002	0.	1.527e-004
386	3.1673e-002	4.8951e-002	0.	1.4583e-004
387	2.9935e-002	6.418e-002	1.27e-003	2.5793e-006
388	1.4967e-002	6.257e-002	0.	1.2697e-004
389	2.5939e-002	0.10781	0.	1.4743e-004
390	2.6907e-002	9.2875e-002	1.27e-003	2.5834e-006
391	1.3454e-002	9.2157e-002	0.	1.2688e-004
392	0.16425	3.0857e-002	0.	8.1373e-005
393	0.15244	2.2893e-002	1.27e-003	2.3804e-006
394	0.15735	1.1447e-002	0.	7.9705e-005
395	0.19465	3.8835e-002	0.	7.6661e-005
396	0.1784	5.7715e-002	0.	8.1552e-005
397	0.17606	3.8821e-002	1.27e-003	1.4371e-006
398	0.18314	1.941e-002	0.	8.0956e-005
399	0.22934	3.875e-002	0.	6.5172e-005
400	0.21332	5.7562e-002	0.	7.0474e-005
401	0.21325	3.885e-002	1.27e-003	7.5102e-007
402	0.21571	1.9425e-002	0.	6.9795e-005
403	0.26061	3.8639e-002	0.	5.4977e-005
404	0.24574	5.7554e-002	0.	5.9124e-005
405	0.24543	3.865e-002	1.27e-003	5.4146e-007
406	0.24578	1.9325e-002	0.	6.0214e-005
407	0.29064	3.8896e-002	0.	4.6381e-005
408	0.27658	5.7479e-002	0.	5.0105e-005
409	0.2758	3.8629e-002	1.27e-003	6.4536e-007
410	0.27495	1.9314e-002	0.	5.115e-005
411	0.32007	4.0168e-002	0.	3.857e-005
412	0.30667	5.8286e-002	0.	4.1768e-005
413	0.30549	3.9163e-002	1.27e-003	6.1829e-007
414	0.30377	1.9582e-002	0.	4.2821e-005
415	0.34732	3.9031e-002	0.	3.2201e-005
416	0.33654	5.9498e-002	0.	3.44e-005
417	0.33465	4.1173e-002	1.27e-003	4.3964e-007
418	0.33233	2.0587e-002	0.	3.5355e-005
419	0.3727	3.3665e-002	0.	2.6169e-005
420	0.36552	5.7125e-002	0.	2.7528e-005
421	0.35999	3.689e-002	1.27e-003	5.9699e-007
422	0.35898	1.8445e-002	0.	2.943e-005
423	0.39939	2.9476e-002	0.	2.0611e-005
