Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
513	0.24921	0.11415	1.27e-003	50023
514	0.25178	0.13328	0.	4.0047e+006
515	0.19949	0.11393	0.	5.101e+006
516	0.21535	9.5161e-002	0.	4.7873e+006
517	0.2173	0.11405	1.27e-003	65285
518	0.22103	0.13322	0.	4.6798e+006
519	0.16985	0.12259	0.	5.665e+006
520	0.18122	9.5206e-002	0.	5.508e+006
521	0.16278	0.10732	0.	6.3037e+006
522	0.18168	0.1138	1.27e-003	1.6426e+005
523	0.18842	0.1331	0.	5.3698e+006
524	0.15802	0.13138	1.27e-003	3.0614e+005
525	0.16178	0.14189	0.	5.6786e+006
526	0.19707	7.6441e-002	0.	5.1948e+006
527	0.16189	7.6489e-002	0.	6.8536e+006
528	0.18075	7.6608e-002	1.27e-003	1.3334e+005
529	0.39999	5.7084e-002	0.	1.432e+006
530	0.38011	6.6388e-002	0.	1.672e+006
531	0.38916	5.5415e-002	1.27e-003	64547
532	0.42432	5.9278e-002	0.	1.1238e+006
533	0.4077	7.3851e-002	0.	1.3366e+006
534	0.41083	5.8754e-002	1.27e-003	1820.
535	0.45189	5.9978e-002	0.	8.3834e+005
536	0.43627	7.5155e-002	0.	9.8745e+005
537	0.43782	5.9802e-002	1.27e-003	7271.2
538	0.48026	6.0262e-002	0.	5.9597e+005
539	0.46494	7.5531e-002	0.	7.1509e+005
540	0.46596	6.0154e-002	1.27e-003	19934
541	0.50892	6.0459e-002	0.	3.9171e+005
542	0.49378	7.5707e-002	0.	4.8352e+005
543	0.49456	6.037e-002	1.27e-003	16062
544	0.53764	6.0541e-002	0.	2.3951e+005
545	0.52266	7.5847e-002	0.	3.0354e+005
546	0.52329	6.0547e-002	1.27e-003	12597
547	0.5515	7.5822e-002	0.	1.7821e+005
548	0.55199	6.0534e-002	1.27e-003	8441.2
549	0.53653	9.1128e-002	0.	2.4437e+005
550	0.55102	9.1111e-002	1.27e-003	8416.9
551	0.50752	9.1095e-002	0.	3.9968e+005
552	0.52204	9.1146e-002	1.27e-003	12349
553	0.47846	9.0976e-002	0.	6.0835e+005
554	0.493	9.1044e-002	1.27e-003	15465
555	0.44932	9.0708e-002	0.	8.6959e+005
556	0.46392	9.0908e-002	1.27e-003	20764
557	0.41965	8.9728e-002	0.	1.2014e+006
558	0.43473	9.0508e-002	1.27e-003	14066
559	0.38781	8.3154e-002	0.	1.5782e+006
560	0.40457	8.8948e-002	1.27e-003	41248
561	0.35475	7.7592e-002	0.	2.0535e+006
562	0.37106	7.736e-002	1.27e-003	33368
563	0.32314	7.7616e-002	0.	2.5964e+006
564	0.33843	7.7823e-002	1.27e-003	27788
565	0.29261	7.6869e-002	0.	3.1388e+006
566	0.30785	7.7409e-002	1.27e-003	47081
567	0.26171	7.6394e-002	0.	3.7413e+006
568	0.27737	7.6329e-002	1.27e-003	46801
569	0.22972	7.6366e-002	0.	4.4393e+006
570	0.24605	7.6458e-002	1.27e-003	48026
571	0.21339	7.6273e-002	1.27e-003	63411
572	0.14345	8.8606e-002	0.	7.6132e+006
573	0.14387	0.10084	1.27e-003	5.9474e+005
574	0.12511	0.10122	0.	1.3762e+007
575	8.5699e-002	2.387e-002	1.27e-003	64768
576	9.3903e-002	2.4635e-002	0.	7.9611e+006
577	4.952e-002	4.1119e-002	0.	9.5905e+006
578	6.5628e-002	4.8516e-002	1.27e-003	5.7879e+005
579	8.3868e-002	4.9658e-002	0.	1.607e+007
580	3.3412e-002	3.3722e-002	1.27e-003	3.5744e+005
581	2.9469e-002	1.6861e-002	0.	9.6911e+006
582	1.6706e-002	3.2101e-002	0.	8.2512e+006
583	5.9784e-002	0.12495	0.	8.267e+006
584	7.7506e-002	0.12109	0.	8.6737e+006
585	7.0293e-002	0.12551	1.27e-003	2.9351e+005
586	7.3437e-002	0.13895	0.	7.3529e+006
587	4.9275e-002	0.1244	1.27e-003	1.7583e+005
588	5.0164e-002	0.1384	0.	8.7568e+006
589	8.7955e-002	0.11968	0.	8.2868e+006
590	9.119e-002	0.12268	1.27e-003	2.9192e+005
591	9.6649e-002	0.12484	0.	6.176e+006
592	8.5876e-002	0.11108	0.	1.0636e+007
593	8.7033e-002	0.10549	1.27e-003	9.7811e+005
594	9.457e-002	0.10354	0.	1.9136e+007
595	0.12263	2.4795e-002	1.27e-003	2.3466e+005
596	0.11449	2.5098e-002	0.	5.6714e+006
597	0.12563	6.9076e-002	0.	1.1446e+007
598	0.10824	6.1782e-002	1.27e-003	4.0967e+005
599	0.10729	5.6291e-002	0.	1.9963e+007
600	9.1163e-002	8.7056e-002	1.27e-003	3.4574e+005
601	9.6635e-002	9.4328e-002	0.	1.9951e+007
602	0.14302	7.637e-002	1.27e-003	4.8712e+005
603	8.472e-002	0.11667	1.27e-003	4.4793e+005
604	8.5876e-002	0.11108	2.54e-003	1.0636e+007
605	8.7955e-002	0.11968	2.54e-003	8.2868e+006
606	7.7506e-002	0.12109	2.54e-003	8.6737e+006
607	0.12563	6.9076e-002	2.54e-003	1.1446e+007
608	0.14345	8.8606e-002	2.54e-003	7.6132e+006
609	0.16189	7.6489e-002	2.54e-003	6.8536e+006
610	0.14361	6.4313e-002	2.54e-003	7.6091e+006
611	0.12728	7.9496e-002	2.54e-003	1.1134e+007
612	7.716e-002	7.8814e-002	2.54e-003	1.1642e+007
613	8.2935e-002	9.2738e-002	2.54e-003	1.1882e+007
614	0.10136	8.484e-002	2.54e-003	1.342e+007
615	9.6635e-002	9.4328e-002	2.54e-003	1.9951e+007
616	0.10144	6.472e-002	2.54e-003	1.4401e+007
617	0.10729	5.6291e-002	2.54e-003	1.9963e+007
618	0.1248	2.0039e-002	2.54e-003	4.8996e+006
619	0.12677	2.9311e-002	2.54e-003	5.872e+006
620	0.11449	2.5098e-002	2.54e-003	5.6714e+006
621	9.091e-002	0.1097	2.54e-003	1.2601e+007
622	8.087e-002	0.10195	2.54e-003	1.0937e+007
623	9.457e-002	0.10354	2.54e-003	1.9136e+007
624	9.2989e-002	0.1183	2.54e-003	1.0556e+007
625	8.9727e-002	0.12946	2.54e-003	6.7448e+006
626	9.6649e-002	0.12484	2.54e-003	6.176e+006
627	5.9784e-002	0.12495	2.54e-003	8.267e+006
628	3.7123e-002	0.12357	2.54e-003	9.2165e+006
629	5.0701e-002	0.11039	2.54e-003	8.9012e+006
630	5.0164e-002	0.1384	2.54e-003	8.7568e+006
631	7.9278e-002	0.13088	2.54e-003	6.9014e+006
632	7.25e-002	0.11196	2.54e-003	9.18e+006
