Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Elastic Strain (in/in)
447	0.	0.	5.e-002	8.5577e-005
448	1.	6.	0.1	4.8234e-004
449	5.2451e-014	6.	5.e-002	1.0475e-004
450	3.	6.	0.1	5.1888e-004
451	2.	6.	5.e-002	2.0059e-005
452	5.	6.	0.1	4.4129e-004
453	4.	6.	5.e-002	8.4084e-006
454	7.	6.	0.1	3.3105e-004
455	6.	6.	5.e-002	8.7534e-006
456	8.	6.	5.e-002	2.3583e-006
457	5.	6.	0.	1.503e-004
458	7.	6.	0.	1.1844e-004
459	3.	6.	0.	2.307e-004
460	1.	6.	0.	1.454e-004
461	8.	5.5	0.	1.1783e-004
462	4.371e-014	5.	0.	9.6933e-006
463	2.4	3.6396e-031	0.	2.2261e-004
464	0.8	1.2132e-031	0.	1.3552e-004
465	4.	6.0659e-031	0.	1.7587e-004
466	5.6	8.4923e-031	0.	1.5612e-004
467	7.2	1.0919e-030	0.	9.1499e-005
468	8.	0.5	0.	9.1139e-005
469	8.7419e-015	1.	0.	6.093e-006
470	11.56	0.	0.	9.2543e-005
471	9.2976	0.	0.	8.7855e-005
472	13.821	0.	0.	7.9094e-005
473	16.083	0.	0.	6.2165e-005
474	18.345	0.	0.	4.2353e-005
475	20.607	0.	0.	2.7505e-005
476	22.869	0.	0.	1.8076e-005
477	8.1667	0.5	0.	9.6476e-005
478	24.	1.	0.	1.4879e-005
479	2.6226e-014	3.	0.	1.3849e-007
480	24.	3.	0.	1.6083e-005
481	24.	5.	0.	1.4854e-005
482	23.01	6.	0.	1.7994e-005
483	21.031	6.	0.	2.7892e-005
484	19.052	6.	0.	4.1121e-005
485	17.073	6.	0.	5.6213e-005
486	15.094	6.	0.	7.1678e-005
487	13.115	6.	0.	8.6872e-005
488	11.135	6.	0.	9.627e-005
489	9.1563	6.	0.	7.1839e-005
490	8.1667	5.5	0.	1.3124e-004
491	8.	1.25	0.	2.1121e-004
492	8.	1.75	0.	3.9709e-004
493	8.0833	2.	0.	4.532e-004
494	8.1667	1.25	0.	1.5474e-004
495	8.1667	1.75	0.	3.348e-004
496	8.	4.75	0.	1.7537e-004
497	8.	4.25	0.	2.8721e-004
498	8.0833	4.	0.	3.9043e-004
499	8.1667	4.75	0.	2.0612e-004
500	8.1667	4.25	0.	3.3558e-004
