NodeIndex,X,Y,Z,Weight,StrainValue,CutLocation
8899,7.0475,6,0,0.281687740141758,0.00042602,0.8
30082,7.0475,6,0.05,0.20398077734403,1.0586e-05,0.8
9461,7.0475,5.9091,0,0.140881827023251,0.00042583,0.8
30953,9.1665,6,0,0.430514512990255,0.00036284,0.8
8887,9.2587,6,0,0.24569397249018,0.00036016,0.8
30106,9.2587,6,0.05,0.187038698803231,1.2794e-05,0.8
30103,9.1665,6,0.1,0.136752815716335,0.00036284,0.8
8877,11.101,6,0,0.959706302238667,0.00030798,0.8
30126,11.101,6,0.05,0.0191902883708516,1.3252e-05,0.8
9549,11.101,5.9091,0,0.0105571862889448,0.00030825,0.8
30943,11.009,6,0,0.0105462231015368,0.00031053,0.8
8855,15.155,6,0,0.325725225039968,0.00020092,0.8
30920,15.247,6,0,0.311864577165923,0.0001986,0.8
30170,15.155,6,0.05,0.217898687751524,1.2592e-05,0.8
9637,15.155,5.9091,0,0.144511510042585,0.00020138,0.8
30910,17.09,6,0,0.754388794457811,0.00015331,0.8
8844,17.182,6,0,0.0919986334704823,0.00015109,0.8
30192,17.182,6,0.05,0.0785480814353743,1.183e-05,0.8
30189,17.09,6,0.1,0.0750644906363318,0.00015331,0.8
8822,21.236,6,0,0.385300610052927,5.813e-05,0.8
30888,21.144,6,0,0.247693249319744,6.0156e-05,0.8
30236,21.236,6,0.05,0.225132967324921,8.6906e-06,0.8
9769,21.236,5.9091,0,0.141873173302408,5.8948e-05,0.8
8842,5.1355,6,0,0.389786045849228,0.00048252,0.9
30740,5.043,6,0,0.242761484695579,0.00048488,0.9
29830,5.1355,6,0.05,0.225655685693798,6.6018e-06,0.9
9349,5.1355,5.9091,0,0.141796783761395,0.00048217,0.9
30729,7.0774,6,0,0.553486781736506,0.00042505,0.9
8831,7.1699,6,0,0.178952807828967,0.00042223,0.9
29852,7.1699,6,0.05,0.145549509796149,1.0824e-05,0.9
29849,7.0774,6,0.1,0.122010900638378,0.00042505,0.9
8820,9.2043,6,0,0.846246740462577,0.00036173,0.9
29874,9.2043,6,0.05,0.0725095732445311,1.278e-05,0.9
30718,9.1118,6,0,0.0412569272561187,0.00036442,0.9
9437,9.2043,5.9091,0,0.0399867590367734,0.00036185,0.9
8810,11.054,6,0,0.319633432140537,0.00030929,0.9
30707,11.146,6,0,0.319633432140525,0.00030673,0.9
29894,11.054,6,0.05,0.216409902699443,1.3256e-05,0.9
9477,11.054,5.9091,0,0.144323233019495,0.00030956,0.9
30685,15.215,6,0,0.663778222195504,0.00019941,0.9
8788,15.123,6,0,0.129307445882246,0.00020174,0.9
29938,15.123,6,0.05,0.108449169796533,1.2605e-05,0.9
29937,15.215,6,0.1,0.0984651621257172,0.00019941,0.9
30675,17.065,6,0,0.415628982193238,0.00015392,0.9
8777,17.157,6,0,0.255210778539714,0.0001517,0.9
29960,17.157,6,0.05,0.191857028470201,1.1843e-05,0.9
29957,17.065,6,0.1,0.137303210796847,0.00015392,0.9
