nodeNumbers,xLocations,yLocations,zLocations,elasticStrains,equivalentStress,maxPrincipalElasticStrain,maxPrincipalStress,middlePrincipalElasticStrain,middlePrincipalStress,minPrincipalElasticStrain,minPrincipalStress,totalDeformation
1040,0.37042,0,0.00254,2.7045e-05,1863400,2.6902e-05,1836100,-8.3881e-06,7979.1,-9.7125e-06,-60635,0.0063533
1041,0.34228,0,0.00254,3.392e-05,2337100,3.3674e-05,2289000,-1.0688e-05,-9149.7,-1.2157e-05,-85242,0.0055869
1042,0.31414,0,0.00254,4.0818e-05,2812400,4.0532e-05,2755700,-1.3037e-05,-19383,-1.4448e-05,-92465,0.0048411
1043,0.286,0,0.00254,4.7947e-05,3303600,4.7792e-05,3272400,-1.5569e-05,-9930.4,-1.638e-05,-51990,0.0041204
1044,0.25786,0,0.00254,5.6268e-05,3876800,5.6148e-05,3853400,-1.8053e-05,9391,-1.9307e-05,-55555,0.0034291
1045,0.22972,0,0.00254,6.6796e-05,4602200,6.5916e-05,4429900,-2.0994e-05,-72418,-2.4732e-05,-266080,0.0027726
1046,0.20158,0,0.00254,7.0837e-05,4880700,6.9992e-05,4713900,-2.252e-05,-78668,-2.5835e-05,-250440,0.0021566
1047,0.17344,0,0.00254,6.0478e-05,4166900,6.09e-05,4254500,-1.8479e-05,142240,-2.0552e-05,34847,0.0015854
1048,0.1453,0,0.00254,4.399e-05,3030900,4.5554e-05,3381700,-8.9909e-06,556050,-1.6241e-05,180480,0.001053
1049,0.1143,-1.9413e-32,0.00254,5.4315e-05,3742300,5.6768e-05,4256500,-1.2436e-05,671480,-1.8165e-05,374680,0.00060363
1050,0.0889,-1.5099e-32,0.00254,9.7892e-05,6744800,9.7984e-05,6777800,-2.8539e-05,223350,-3.5599e-05,-142420,0.00036426
1051,0.0635,-1.0785e-32,0.00254,0.00013303,9165900,0.00013276,9112100,-4.3206e-05,-3903.7,-4.5118e-05,-102940,0.00017541
1052,0.0381,-6.4711e-33,0.00254,0.00014282,9840100,0.00014075,9431500,-4.5425e-05,-213100,-5.276e-05,-593100,5.5492e-05
1053,0.0127,-2.157e-33,0.00254,0.00010265,7072600,0.00011129,8862900,-1.8928e-05,2116900,-3.0763e-05,1503700,5.2155e-06
1054,0.0127,0.1524,0.00254,0.00010291,7090600,0.00011142,8861100,-1.849e-05,2131300,-3.149e-05,1457800,5.1344e-06
1055,0.0381,0.1524,0.00254,0.00013983,9634400,0.00013826,9352500,-4.0603e-05,86671,-5.4099e-05,-612510,5.5207e-05
1056,0.0635,0.1524,0.00254,0.00013025,8974100,0.00013018,8965900,-4.0393e-05,129530,-4.5593e-05,-139830,0.00017476
1057,0.0889,0.1524,0.00254,9.9167e-05,6832600,9.8419e-05,6681100,-3.3136e-05,-134010,-3.3807e-05,-168760,0.00035984
1058,0.1143,0.1524,0.00254,5.7995e-05,3995800,6.03e-05,4480500,-1.3673e-05,648330,-1.9645e-05,338980,0.00059601
