Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
415	1.134	3.074	0.	293.49
416	1.133	3.6761	5.e-002	0.7211
417	0.56652	3.638	0.	-360.13
418	1.1368	1.8566	0.	277.49
419	1.1387	1.2412	5.e-002	16.003
420	0.56934	1.2206	0.	-361.3
421	1.1218	0.62061	0.	232.29
422	6.9267	1.0693	0.	24.626
423	6.4894	0.7763	5.e-002	30.771
424	6.68	0.38815	0.	62.904
425	8.1212	1.2948	0.	7.3113
426	7.4336	1.9185	0.	-4.0312
427	6.5179	1.6045	0.	-52.454
428	7.364	1.3623	5.e-002	16.564
429	7.6883	0.68117	0.	-15.125
430	9.5255	1.2186	0.	2.9933
431	8.8547	1.815	0.	9.5533
432	8.8784	1.2273	5.e-002	6.9652
433	9.0164	0.61366	0.	9.4163
434	10.775	1.2077	0.	-1.9264
435	10.148	1.7988	0.	-2.6438
436	10.173	1.2098	5.e-002	2.4319
437	10.235	0.60491	0.	-5.0616
438	11.962	1.2019	0.	-0.35151
439	11.361	1.7991	0.	-0.55288
440	11.378	1.2056	5.e-002	3.5004
441	11.408	0.60279	0.	0.6227
442	13.129	1.1898	0.	3.2693
443	12.536	1.7887	0.	0.98704
444	12.545	1.1982	5.e-002	3.1719
445	12.563	0.59908	0.	3.9595
446	14.284	1.1799	0.	5.4843
447	13.707	1.7735	0.	4.5128
448	13.712	1.1814	5.e-002	2.9539
449	13.717	0.59071	0.	5.8358
450	15.424	1.1786	0.	6.8735
451	14.854	1.7704	0.	6.6568
452	14.855	1.1783	5.e-002	2.6941
453	14.86	0.58915	0.	7.3956
454	16.564	1.1799	0.	7.7155
455	15.994	1.7712	0.	7.9035
456	15.994	1.1789	5.e-002	2.3157
457	16.	0.58944	0.	8.4175
458	17.704	1.1826	0.	8.1835
459	17.134	1.7735	0.	8.6293
460	17.135	1.181	5.e-002	1.988
461	17.142	0.59048	0.	8.9283
462	18.845	1.1848	0.	8.4164
463	18.274	1.7768	0.	9.0448
464	18.274	1.1842	5.e-002	1.6911
465	18.282	0.59212	0.	9.2152
466	19.987	1.1847	0.	8.4284
467	19.414	1.7796	0.	9.2169
468	19.416	1.1853	5.e-002	1.3495
469	19.424	0.59265	0.	9.2673
470	21.131	1.1902	0.	8.2889
471	20.556	1.7868	0.	9.2527
472	20.558	1.1842	5.e-002	1.0112
473	20.566	0.59208	0.	9.0176
474	22.279	1.196	0.	7.9129
475	21.699	1.7984	0.	9.2501
476	21.705	1.1963	5.e-002	0.69541
477	21.71	0.59816	0.	8.4707
478	22.85	1.795	0.	8.9941
479	22.854	1.1957	5.e-002	0.45071
480	23.427	1.1979	0.	7.1416
481	22.856	0.59786	0.	7.3676
482	1.1349	2.472	5.e-002	4.2159
483	0.56744	2.436	0.	-365.36
484	22.847	2.9979	0.	10.548
485	22.27	2.3974	0.	10.638
486	22.847	2.3943	5.e-002	0.43486
487	23.423	2.3971	0.	10.322
488	22.848	4.2045	0.	8.9814
489	22.269	3.5999	0.	10.619
490	22.847	3.6016	5.e-002	0.43636
491	23.423	3.6008	0.	10.323
492	22.276	4.8023	0.	7.8989
493	22.849	4.8073	5.e-002	0.45785
494	22.853	5.4037	0.	7.3627
495	23.424	4.8037	0.	7.1295
496	21.129	4.7985	0.	8.2866
497	21.697	4.1978	0.	9.2293
498	21.703	4.7973	5.e-002	0.7118
499	21.71	5.3987	0.	8.4769
500	19.983	4.7906	0.	8.3825
501	20.55	4.1946	0.	9.2401
502	20.554	4.7997	5.e-002	1.0377
503	20.564	5.3998	0.	9.0303
504	18.84	4.7637	0.	8.3669
505	19.411	4.1794	0.	9.1582
506	19.411	4.7815	5.e-002	1.3698
507	19.422	5.3908	0.	9.3251
508	17.698	4.7319	0.	8.1622
509	18.267	4.1497	0.	8.9874
510	18.269	4.7459	5.e-002	1.7089
511	18.28	5.3729	0.	9.4123
512	16.558	4.7101	0.	7.6862
513	17.127	4.1302	0.	8.5743
514	17.127	4.7179	5.e-002	2.0259
515	17.138	5.3589	0.	9.2454
516	15.42	4.7183	0.	6.8287
517	15.989	4.1182	0.	7.8085
518	15.989	4.7024	5.e-002	2.3515
519	15.998	5.3512	0.	8.5683
520	14.28	4.7512	0.	5.4066
