Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
433	9.3258	1.2046	5.e-002	-1.9426e-007
434	9.4214	0.60232	0.	-3.5422e-004
435	11.103	1.1903	0.	-3.0657e-004
436	10.495	1.7857	0.	-3.2223e-004
437	10.526	1.1953	5.e-002	-3.0975e-007
438	10.578	0.59763	0.	-3.2205e-004
439	12.248	1.18	0.	-2.7582e-004
440	11.664	1.7703	0.	-2.9071e-004
441	11.679	1.1854	5.e-002	-2.0124e-007
442	11.712	0.5927	0.	-2.909e-004
443	13.385	1.1739	0.	-2.46e-004
444	12.81	1.7635	0.	-2.6054e-004
445	12.816	1.1747	5.e-002	-1.8158e-007
446	12.838	0.58735	0.	-2.6071e-004
447	14.509	1.1727	0.	-2.1717e-004
448	13.951	1.7623	0.	-2.3092e-004
449	13.954	1.1731	5.e-002	-1.7013e-007
450	13.964	0.58656	0.	-2.3126e-004
451	15.625	1.1723	0.	-1.8922e-004
452	15.062	1.7618	0.	-2.028e-004
453	15.064	1.1722	5.e-002	-1.5962e-007
454	15.076	0.58612	0.	-2.029e-004
455	16.741	1.1734	0.	-1.6196e-004
456	16.184	1.7627	0.	-1.7506e-004
457	16.186	1.1724	5.e-002	-1.4883e-007
458	16.194	0.5862	0.	-1.7514e-004
459	17.853	1.1765	0.	-1.3553e-004
460	17.294	1.7658	0.	-1.4836e-004
461	17.295	1.1745	5.e-002	-1.4515e-007
462	17.305	0.58724	0.	-1.4824e-004
463	18.966	1.1816	0.	-1.0984e-004
464	18.409	1.7708	0.	-1.2228e-004
465	18.41	1.1785	5.e-002	-1.5065e-007
466	18.42	0.58926	0.	-1.2201e-004
467	20.078	1.1867	0.	-8.4931e-005
468	19.52	1.7773	0.	-9.7139e-005
469	19.521	1.1846	5.e-002	-1.6887e-007
470	19.532	0.59232	0.	-9.6545e-005
471	21.195	1.1887	0.	-6.0742e-005
472	20.635	1.7832	0.	-7.2806e-005
473	20.636	1.1888	5.e-002	-1.8105e-007
474	20.647	0.5944	0.	-7.1726e-005
475	22.317	1.1918	0.	-3.7482e-005
476	21.752	1.7878	0.	-4.9385e-005
477	21.755	1.1886	5.e-002	-2.1313e-007
478	21.763	0.5943	0.	-4.751e-005
479	22.873	1.7941	0.	-2.7072e-005
480	22.879	1.195	5.e-002	-3.1047e-007
481	23.44	1.1975	0.	-1.5439e-005
482	22.882	0.59752	0.	-2.3883e-005
483	22.868	2.9974	0.	-2.8101e-005
484	22.308	2.3901	0.	-3.9154e-005
485	22.867	2.3931	5.e-002	-3.2134e-007
486	23.434	2.3965	0.	-1.7154e-005
487	22.873	4.1992	0.	-2.7124e-005
488	22.308	3.5961	0.	-3.9171e-005
489	22.869	3.6016	5.e-002	-3.2452e-007
490	23.435	3.6008	0.	-1.7161e-005
491	22.315	4.7947	0.	-3.7575e-005
492	22.876	4.7968	5.e-002	-3.1596e-007
493	22.881	5.3984	0.	-2.3953e-005
494	23.438	4.7984	0.	-1.554e-005
495	21.191	4.7919	0.	-6.0846e-005
496	21.75	4.1916	0.	-4.9441e-005
497	21.753	4.7927	5.e-002	-2.1921e-007
498	21.763	5.3963	0.	-4.7552e-005
499	20.071	4.7662	0.	-8.5121e-005
500	20.631	4.1852	0.	-7.2891e-005
501	20.629	4.7911	5.e-002	-1.6586e-007
502	20.643	5.3955	0.	-7.1863e-005
503	18.956	4.7214	0.	-1.1006e-004
504	19.517	4.1494	0.	-9.722e-005
505	19.513	4.7414	5.e-002	-2.0624e-007
506	19.528	5.3707	0.	-9.6721e-005
507	17.845	4.6915	0.	-1.3566e-004
508	18.401	4.1173	0.	-1.2247e-004
509	18.4	4.7015	5.e-002	-2.3697e-007
510	18.415	5.3507	0.	-1.2218e-004
511	16.736	4.6779	0.	-1.6198e-004
512	17.291	4.1009	0.	-1.4839e-004
513	17.29	4.6814	5.e-002	-2.4449e-007
514	17.303	5.3407	0.	-1.4831e-004
515	15.626	4.6745	0.	-1.8907e-004
516	16.18	4.094	0.	-1.7512e-004
517	16.181	4.6744	5.e-002	-2.5319e-007
518	16.191	5.3372	0.	-1.7516e-004
519	14.515	4.6753	0.	-2.1688e-004
520	15.068	4.0928	0.	-2.026e-004
521	15.071	4.6745	5.e-002	-2.6984e-007
522	15.079	5.3373	0.	-2.0277e-004
523	13.398	4.6968	0.	-2.4552e-004
524	13.953	4.0945	0.	-2.308e-004
525	13.96	4.6761	5.e-002	-2.7433e-007
526	13.966	5.3381	0.	-2.3108e-004
527	12.266	4.7365	0.	-2.7521e-004
528	12.828	4.1155	0.	-2.5988e-004
529	12.837	4.7174	5.e-002	-2.6034e-007
530	12.848	5.3587	0.	-2.603e-004
531	11.12	4.754	0.	-3.0596e-004
532	11.675	4.1527	0.	-2.9028e-004
533	11.696	4.7557	5.e-002	-2.2983e-007
534	11.72	5.3778	0.	-2.9055e-004
535	9.9475	4.7556	0.	-3.3772e-004
536	10.509	4.1524	0.	-3.2173e-004
537	10.544	4.7524	5.e-002	-3.031e-007
538	10.587	5.3762	0.	-3.2167e-004
539	8.7308	4.7631	0.	-3.728e-004
540	9.3037	4.1623	0.	-3.5408e-004
541	9.3514	4.7589	5.e-002	-2.2794e-007
542	9.4342	5.3794	0.	-3.5345e-004
543	7.4024	4.7445	0.	-4.0436e-004
544	8.0528	4.1724	0.	-3.9202e-004
545	8.1101	4.7673	5.e-002	-1.1991e-006
546	8.2565	5.3837	0.	-3.8641e-004
547	6.2559	4.9909	0.	-4.1838e-004
548	6.7394	4.1414	0.	-4.2359e-004
549	6.6947	4.7217	5.e-002	-4.3655e-006
550	6.9918	5.3608	0.	-4.0561e-004
551	5.817	5.26	5.e-002	-1.5781e-005
552	5.9959	5.63	0.	-4.2566e-004
553	7.3409	2.4006	0.	-4.1631e-004
554	6.7406	2.9859	0.	-4.3604e-004
555	6.6972	2.4107	5.e-002	-8.933e-006
556	8.6148	2.3848	0.	-3.7244e-004
557	7.99	2.984	0.	-3.914e-004
558	7.9846	2.3906	5.e-002	-1.1837e-006
559	9.8547	2.3776	0.	-3.3831e-004
560	9.2505	2.9724	0.	-3.5435e-004
561	9.245	2.379	5.e-002	-1.053e-006
562	11.057	2.3657	0.	-3.0644e-004
563	10.469	2.9643	0.	-3.2208e-004
564	10.465	2.3762	5.e-002	-3.887e-007
565	12.227	2.3537	0.	-2.7553e-004
566	11.652	2.9524	0.	-2.9043e-004
567	11.649	2.3552	5.e-002	-2.96e-007
568	13.376	2.3519	0.	-2.4559e-004
569	12.812	2.933	0.	-2.6004e-004
570	12.805	2.3523	5.e-002	-2.5974e-007
571	14.504	2.3515	0.	-2.167e-004
572	13.947	2.9322	0.	-2.3071e-004
573	13.948	2.3515	5.e-002	-2.1925e-007
574	15.621	2.3522	0.	-1.8881e-004
575	15.063	2.9312	0.	-2.0252e-004
576	15.061	2.3514	5.e-002	-1.7417e-007
577	16.737	2.3551	0.	-1.6164e-004
578	16.18	2.9333	0.	-1.7493e-004
579	16.182	2.353	5.e-002	-1.7024e-007
580	17.851	2.3601	0.	-1.353e-004
581	17.292	2.9387	0.	-1.4822e-004
582	17.293	2.3571	5.e-002	-1.6405e-007
583	18.964	2.3665	0.	-1.098e-004
584	18.405	2.948	0.	-1.2228e-004
585	18.408	2.363	5.e-002	-1.681e-007
586	20.077	2.3738	0.	-8.5242e-005
587	19.521	2.9637	0.	-9.7149e-005
588	19.52	2.37	5.e-002	-1.8534e-007
589	21.192	2.3823	0.	-6.1674e-005
590	20.634	2.9785	0.	-7.3102e-005
591	20.634	2.3776	5.e-002	-2.0529e-007
