Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
554	0.92397	2.0916	5.e-002	-59.067
555	0.46199	2.2458	0.	-7023.6
556	3.7345	2.6491	5.e-002	-186.83
557	3.4706	2.3246	0.	-12498
558	3.2934	3.3223	5.e-002	-478.26
559	3.1667	3.6611	0.	-17537
560	4.4472	1.2905	0.	-4394.1
561	3.9277	1.3086	0.	-5749.4
562	4.033	1.1081	5.e-002	-45.607
563	3.6198	1.0541	0.	-3171.2
564	4.5076	1.6948	0.	-4789.9
565	5.1838	1.7456	0.	-4911.9
566	4.8614	1.473	5.e-002	-122.23
567	3.9881	1.7129	0.	-6061.6
568	4.1538	1.9167	5.e-002	-31.771
569	3.6803	1.9584	0.	-11047
570	17.561	2.5359	5.e-002	-8.5472
571	2.7133	3.7519	0.	-10341
572	2.7528	3.4195	5.e-002	-382.15
573	2.8964	3.7097	0.	-17528
574	2.6738	4.0844	5.e-002	-916.16
575	2.8569	4.2922	0.	-6656.3
576	3.8224	1.5092	5.e-002	-616.07
577	3.5145	1.5046	0.	-5137.3
578	5.5061	2.0182	5.e-002	-47.303
579	5.1838	1.7456	0.1	-48.654
580	6.0218	2.4584	0.1	105.47
581	5.886	1.572	0.1	61.033
582	5.1344	2.2437	0.1	32.2
583	3.9881	1.7129	0.1	-530.22
584	3.9277	1.3086	0.1	-375.53
585	3.5145	1.5046	0.1	-2467.5
586	2.7133	3.7519	0.1	-737.83
587	2.5074	4.2522	0.1	-516.98
588	2.8569	4.2922	0.1	-3079.5
589	2.4527	3.4055	0.1	-160.59
590	2.9121	3.1758	0.1	-1694.7
591	2.8964	3.7097	0.1	-37.549
592	17.362	3.1616	0.1	-12.038
593	17.959	2.487	0.1	-11.151
594	17.22	2.1112	0.1	4.3507
595	4.5076	1.6948	0.1	-452.68
596	4.4583	2.1929	0.1	17.867
597	3.6803	1.9584	0.1	-1572.5
598	4.4472	1.2905	0.1	-166.86
599	4.9987	1.166	0.1	-172.54
600	4.1496	0.84249	0.1	-266.92
601	3.6198	1.0541	0.1	-347.83
602	3.5539	3.2308	0.1	-2294.7
603	3.1824	3.1271	0.1	-2520.9
604	3.1667	3.6611	0.1	111.71
605	4.2486	2.5591	0.1	-123.97
606	3.7745	2.8943	0.1	-687.51
607	3.403	2.7906	0.1	-687.56
608	3.4706	2.3246	0.1	-783.44
609	1.4156	1.8623	0.1	-353.3
610	0.92347	1.5592	0.1	-1085.4
611	0.95182	2.6603	0.1	-983.85
612	0.46199	2.2458	0.1	1328.2
613	1.6535	3.9582	0.1	-302.02
614	2.2467	3.9058	0.1	0.74047
615	2.0487	2.9695	0.1	434.95
616	2.5962	2.6958	0.1	739.24
617	1.909	1.2212	0.1	275.04
618	1.9261	2.0902	0.1	485.78
619	2.4736	1.3165	0.1	-258.
620	5.5924	4.2611	0.1	-132.79
621	4.6049	4.357	0.1	-154.4
622	4.9501	3.6541	0.1	66.325
623	4.0019	4.0316	0.1	-45.023
624	8.701	3.0184	0.1	-44.139
625	7.2878	2.9609	0.1	-45.341
626	7.926	3.7387	0.1	-59.377
627	8.2582	2.2811	0.1	-53.586
628	9.9904	3.0196	0.1	1.8909
629	9.2329	3.7516	0.1	3.6774
630	9.5421	2.2724	0.1	15.748
631	11.212	3.0286	0.1	-3.7837
632	10.479	3.7648	0.1	-5.1472
633	10.776	2.2734	0.1	-3.8963
634	12.394	3.0349	0.1	1.0755
635	11.665	3.7712	0.1	0.41918
636	11.966	2.2759	0.1	2.0016
637	13.564	3.0419	0.1	-0.65054
638	12.842	3.7773	0.1	-0.63912
639	13.139	2.2801	0.1	-0.97802
640	14.714	3.065	0.1	-6.834
641	13.998	3.8194	0.1	-5.264
642	14.312	2.2934	0.1	-1.6482
643	15.789	3.1836	0.1	-18.797
644	15.145	3.8384	0.1	-7.6005
645	15.461	2.3258	0.1	-7.9045
646	16.729	3.535	0.1	-32.736
647	16.165	3.9989	0.1	-29.145
648	16.588	2.4846	0.1	-12.192
649	17.745	3.7353	0.1	-18.74
650	17.145	4.3368	0.1	-16.933
651	18.878	3.6526	0.1	-22.958
652	18.342	3.0608	0.1	-12.837
653	18.299	4.267	0.1	-15.062
654	19.984	3.6116	0.1	-49.582
655	19.421	3.0113	0.1	-39.607
656	19.415	4.2212	0.1	-36.081
657	21.106	3.5968	0.1	-66.739
658	20.532	2.9967	0.1	-56.141
659	20.538	4.201	0.1	-44.833
660	21.675	2.9934	0.1	-80.743
661	21.674	4.1988	0.1	-68.311
662	22.254	3.5956	0.1	-102.57
663	21.101	2.3934	0.1	-71.413
664	22.259	2.3938	0.1	-103.07
665	21.682	1.794	0.1	-69.327
666	19.968	2.3964	0.1	-47.974
667	20.527	1.7891	0.1	-51.305
668	18.885	2.4194	0.1	-31.353
669	19.398	1.7969	0.1	-35.345
670	18.282	1.8245	0.1	-43.571
671	6.4625	3.6788	0.1	-126.66
672	6.9072	2.1743	0.1	4.6218
673	5.8203	3.0717	0.1	65.323
674	5.7969	4.8167	0.1	-70.543
675	4.6595	5.3167	0.1	-151.87
676	4.8094	4.9125	0.1	82.601
677	5.3616	5.5872	0.1	-78.823
678	7.1007	4.4565	0.1	-115.6
679	6.5299	5.2295	0.1	-23.047
680	8.4579	4.4719	0.1	-11.638
681	7.8206	5.227	0.1	-41.3
682	9.7213	4.4969	0.1	-3.3781
683	9.0423	5.2449	0.1	15.926
684	10.932	4.5075	0.1	-0.9385
685	10.239	5.252	0.1	-1.3293
686	12.113	4.5136	0.1	-1.2817
687	11.409	5.2555	0.1	0.73107
688	13.276	4.5548	0.1	-2.2939
