Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
363	7.176	1.8182	0.	-4.3256e-004
364	7.176	1.6364	0.	-4.2669e-004
365	7.176	1.4545	0.	-4.2042e-004
366	7.176	1.2727	0.	-4.1393e-004
367	7.176	1.0909	0.	-4.074e-004
368	7.176	0.90909	0.	-4.0104e-004
369	7.176	0.72727	0.	-3.9503e-004
370	7.176	0.54545	0.	-3.8954e-004
371	7.176	0.36364	0.	-3.8469e-004
372	7.176	0.18182	0.	-3.8051e-004
373	6.992	5.8182	0.	-3.9478e-004
374	6.992	5.6364	0.	-3.9808e-004
375	6.992	5.4545	0.	-4.0186e-004
376	6.992	5.2727	0.	-4.0608e-004
377	6.992	5.0909	0.	-4.1064e-004
378	6.992	4.9091	0.	-4.1541e-004
379	6.992	4.7273	0.	-4.2026e-004
380	6.992	4.5455	0.	-4.2505e-004
381	6.992	4.3636	0.	-4.2964e-004
382	6.992	4.1818	0.	-4.3391e-004
383	6.992	4.	0.	-4.3778e-004
384	6.992	3.8182	0.	-4.4116e-004
385	6.992	3.6364	0.	-4.4399e-004
386	6.992	3.4545	0.	-4.4619e-004
387	6.992	3.2727	0.	-4.4771e-004
388	6.992	3.0909	0.	-4.4848e-004
389	6.992	2.9091	0.	-4.4848e-004
390	6.992	2.7273	0.	-4.4771e-004
391	6.992	2.5455	0.	-4.4619e-004
392	6.992	2.3636	0.	-4.4399e-004
393	6.992	2.1818	0.	-4.4116e-004
394	6.992	2.	0.	-4.3778e-004
395	6.992	1.8182	0.	-4.3391e-004
396	6.992	1.6364	0.	-4.2964e-004
397	6.992	1.4545	0.	-4.2505e-004
398	6.992	1.2727	0.	-4.2026e-004
399	6.992	1.0909	0.	-4.1541e-004
400	6.992	0.90909	0.	-4.1064e-004
401	6.992	0.72727	0.	-4.0608e-004
402	6.992	0.54545	0.	-4.0186e-004
403	6.992	0.36364	0.	-3.9808e-004
404	6.992	0.18182	0.	-3.9478e-004
405	6.808	5.8182	0.	-4.0739e-004
406	6.808	5.6364	0.	-4.099e-004
407	6.808	5.4545	0.	-4.1276e-004
408	6.808	5.2727	0.	-4.1591e-004
409	6.808	5.0909	0.	-4.1929e-004
410	6.808	4.9091	0.	-4.2278e-004
411	6.808	4.7273	0.	-4.263e-004
412	6.808	4.5455	0.	-4.2974e-004
413	6.808	4.3636	0.	-4.3301e-004
414	6.808	4.1818	0.	-4.3604e-004
415	6.808	4.	0.	-4.3877e-004
416	6.808	3.8182	0.	-4.4113e-004
417	6.808	3.6364	0.	-4.431e-004
418	6.808	3.4545	0.	-4.4461e-004
419	6.808	3.2727	0.	-4.4565e-004
420	6.808	3.0909	0.	-4.4618e-004
421	6.808	2.9091	0.	-4.4618e-004
422	6.808	2.7273	0.	-4.4565e-004
423	6.808	2.5455	0.	-4.4461e-004
424	6.808	2.3636	0.	-4.431e-004
425	6.808	2.1818	0.	-4.4113e-004
426	6.808	2.	0.	-4.3877e-004
427	6.808	1.8182	0.	-4.3604e-004
428	6.808	1.6364	0.	-4.3301e-004
429	6.808	1.4545	0.	-4.2974e-004
430	6.808	1.2727	0.	-4.263e-004
431	6.808	1.0909	0.	-4.2278e-004
432	6.808	0.90909	0.	-4.1929e-004
433	6.808	0.72727	0.	-4.1591e-004
