Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
582	18.888	3.5794	0.	2.2211e-006
583	19.447	3.5865	5.e-002	9.6164e-014
584	17.768	3.5598	0.	3.4726e-006
585	18.33	3.5724	5.e-002	6.7786e-014
586	16.626	3.5352	0.	4.9899e-006
587	17.205	3.5472	5.e-002	1.2229e-013
588	15.462	3.5356	0.	6.8066e-006
589	16.047	3.5231	5.e-002	1.7425e-013
590	14.285	3.5542	0.	8.9594e-006
591	14.876	3.5481	5.e-002	1.1473e-013
592	13.088	3.5645	0.	1.1388e-005
593	13.695	3.5603	5.e-002	1.2185e-013
594	11.833	3.56	0.	1.3579e-005
595	12.481	3.5687	5.e-002	5.6587e-014
596	9.2569	3.048	0.	1.6975e-005
597	10.449	3.5012	0.	1.4859e-005
598	9.7125	3.4509	5.e-002	4.8668e-014
599	6.7929	4.912	0.	1.908e-005
600	6.6183	5.0799	5.e-002	-5.0328e-015
601	6.2825	5.04	0.	1.5186e-005
602	6.9676	4.744	5.e-002	7.6824e-015
