Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
468	21.76	1.8088	0.	2.0028e-007
469	21.772	1.2048	5.e-002	2.146e-013
470	21.779	0.60242	0.	2.4898e-007
471	22.879	1.7938	0.	-1.7382e-007
472	22.885	1.1949	5.e-002	2.0549e-013
473	22.889	0.59744	0.	-9.6205e-008
474	23.443	1.1974	0.	-1.5935e-007
475	22.873	2.9985	0.	-2.4616e-007
476	22.31	2.4028	0.	-5.3502e-008
477	22.873	2.3928	5.e-002	1.8874e-013
478	23.436	2.3964	0.	-3.0561e-007
479	22.879	4.2023	0.	-1.7514e-007
480	22.315	3.6054	0.	-5.7563e-008
481	22.874	3.6043	5.e-002	1.7356e-013
482	23.437	3.6022	0.	-3.0697e-007
483	22.325	4.8022	0.	7.9183e-008
484	22.883	4.8002	5.e-002	2.0953e-013
485	23.442	4.8001	0.	-1.5812e-007
486	22.888	5.4001	0.	-9.6674e-008
487	21.212	4.8098	0.	5.5822e-007
488	21.762	4.2054	0.	1.9791e-007
489	21.767	4.8042	5.e-002	2.067e-013
490	21.776	5.4021	0.	2.4713e-007
491	20.105	4.8307	0.	1.275e-006
492	20.649	4.2185	0.	7.9667e-007
493	20.658	4.8153	5.e-002	1.606e-013
494	20.668	5.4077	0.	8.4061e-007
495	18.999	4.8469	0.	2.2328e-006
496	19.547	4.2422	0.	1.6396e-006
497	19.553	4.8461	5.e-002	2.0527e-013
498	19.563	5.4231	0.	1.6826e-006
499	17.893	4.8391	0.	3.4236e-006
500	18.44	4.2431	0.	2.7055e-006
501	18.444	4.8477	5.e-002	6.3381e-014
502	18.455	5.4239	0.	2.7494e-006
503	16.793	4.8247	0.	4.8486e-006
504	17.346	4.2318	0.	4.0114e-006
505	17.342	4.8306	5.e-002	1.8613e-013
506	17.35	5.4153	0.	4.0516e-006
507	15.693	4.8219	0.	6.5054e-006
508	16.247	4.2218	0.	5.5566e-006
509	16.245	4.8189	5.e-002	1.257e-013
510	16.248	5.4094	0.	5.6e-006
511	14.586	4.8258	0.	8.4099e-006
512	15.137	4.2356	0.	7.3505e-006
513	15.141	4.8248	5.e-002	2.4541e-015
514	15.142	5.4124	0.	7.3866e-006
515	13.474	4.8265	0.	1.0607e-005
516	14.026	4.2359	0.	9.3981e-006
517	14.031	4.8267	5.e-002	1.155e-013
518	14.034	5.4134	0.	9.4279e-006
519	12.351	4.8207	0.	1.3053e-005
520	12.906	4.2345	0.	1.1753e-005
521	12.916	4.8262	5.e-002	4.0165e-015
522	12.923	5.4131	0.	1.1741e-005
523	11.233	4.8111	0.	1.5752e-005
524	11.771	4.228	0.	1.4329e-005
525	11.787	4.8152	5.e-002	-1.4822e-015
526	11.805	5.4076	0.	1.4272e-005
527	10.114	4.8114	0.	1.8676e-005
528	10.664	4.222	0.	1.7175e-005
529	10.679	4.8069	5.e-002	-1.0974e-022
530	10.697	5.4034	0.	1.709e-005
531	8.9841	4.8289	0.	2.1349e-005
532	9.5377	4.2508	0.	1.9664e-005
533	9.5483	4.8159	5.e-002	7.865e-016
534	9.5785	5.408	0.	2.0247e-005
535	7.8442	4.8759	0.	2.4348e-005
536	8.4044	4.3129	0.	2.2248e-005
537	8.4199	4.8418	5.e-002	-1.3672e-022
538	8.4608	5.4209	0.	2.3039e-005
539	6.6643	4.9734	0.	2.5873e-005
540	7.1987	4.4075	0.	2.4912e-005
541	7.2685	4.91	5.e-002	-6.696e-014
542	7.3316	5.455	0.	2.6201e-005
543	5.4483	5.1692	0.	3.0992e-005
544	6.0601	5.0368	5.e-002	-8.1022e-014
545	6.1739	5.5184	0.	2.7594e-005
546	4.8365	5.3016	5.e-002	-8.2895e-014
547	5.0086	5.6508	0.	3.1814e-005
548	5.1084	2.0763	0.	2.3162e-005
549	4.8621	1.758	5.e-002	9.0016e-013
550	7.6453	2.7314	0.	2.1787e-005
551	7.0386	3.366	0.	2.3241e-005
552	6.3043	3.0347	0.	2.3663e-005
553	6.9484	2.827	5.e-002	-3.2581e-022
554	8.9189	2.5899	0.	2.0166e-005
555	8.3656	3.2099	0.	2.1485e-005
556	8.3422	2.6359	5.e-002	3.6045e-013
