Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
711	9.9408e-002	9.5958e-002	2.54e-003	5.5043e-004
712	0.11214	9.2605e-002	2.54e-003	7.2669e-004
713	0.11195	9.6683e-002	2.54e-003	7.1998e-004
714	0.10492	9.7523e-002	2.54e-003	6.1754e-004
715	0.10652	6.7989e-002	2.54e-003	6.5083e-004
716	0.12692	6.7153e-002	2.54e-003	9.5402e-004
717	0.11159	5.7824e-002	2.54e-003	7.0857e-004
718	0.12884	3.1602e-002	2.54e-003	9.4959e-004
719	0.14462	3.1866e-002	2.54e-003	1.2339e-003
720	0.13482	4.4991e-002	2.54e-003	1.0705e-003
721	0.11975	3.7749e-002	2.54e-003	8.0354e-004
722	0.12762	2.0313e-002	2.54e-003	9.1058e-004
723	0.11593	2.5604e-002	2.54e-003	7.1725e-004
724	3.9038e-002	2.6994e-002	2.54e-003	7.7006e-005
725	2.8444e-002	4.337e-002	2.54e-003	4.376e-005
726	1.3404e-002	2.987e-002	2.54e-003	9.3119e-006
727	2.6231e-002	1.463e-002	2.54e-003	3.1043e-005
728	5.1227e-002	7.8312e-002	2.54e-003	1.4705e-004
729	7.1808e-002	7.704e-002	2.54e-003	2.8869e-004
730	6.5499e-002	5.9261e-002	2.54e-003	2.3835e-004
731	8.5086e-002	5.9653e-002	2.54e-003	4.0076e-004
732	7.1879e-002	4.0004e-002	2.54e-003	2.7465e-004
733	7.802e-002	2.3792e-002	2.54e-003	3.0221e-004
734	9.1466e-002	2.7696e-002	2.54e-003	4.1546e-004
735	0.12682	0.1337	2.54e-003	9.2426e-004
736	0.12847	0.12318	2.54e-003	9.6469e-004
737	0.11562	0.12763	2.54e-003	7.3808e-004
738	0.1995	8.9567e-002	2.54e-003	2.3735e-003
739	0.22858	9.134e-002	2.54e-003	3.0364e-003
740	0.215	7.5699e-002	2.54e-003	2.7197e-003
741	0.21335	0.10612	2.54e-003	2.6813e-003
742	0.18711	7.2747e-002	2.54e-003	2.1037e-003
743	0.18113	0.10349	2.54e-003	1.9787e-003
744	0.25832	9.1893e-002	2.54e-003	3.7592e-003
745	0.24438	7.6487e-002	2.54e-003	3.4137e-003
746	0.24379	0.1067	2.54e-003	3.399e-003
747	0.28747	9.262e-002	2.54e-003	4.5051e-003
748	0.27362	7.7023e-002	2.54e-003	4.1449e-003
749	0.27305	0.10734	2.54e-003	4.1304e-003
750	0.31586	9.2772e-002	2.54e-003	5.2621e-003
751	0.30212	7.7713e-002	2.54e-003	4.8906e-003
752	0.30182	0.10788	2.54e-003	4.8832e-003
753	0.34353	9.2529e-002	2.54e-003	6.024e-003
754	0.32966	7.7032e-002	2.54e-003	5.6373e-003
755	0.32985	0.10763	2.54e-003	5.6442e-003
756	0.37125	9.2088e-002	2.54e-003	6.8067e-003
757	0.3572	7.7019e-002	2.54e-003	6.4055e-003
758	0.35768	0.10807	2.54e-003	6.4216e-003
759	0.39914	9.1348e-002	2.54e-003	7.6103e-003
760	0.38519	7.6252e-002	2.54e-003	7.2042e-003
761	0.3855	0.10678	2.54e-003	7.2163e-003
762	0.42697	9.1045e-002	2.54e-003	8.425e-003
763	0.41305	7.5774e-002	2.54e-003	8.0136e-003
764	0.41322	0.1064	2.54e-003	8.0223e-003
765	0.4549	9.1051e-002	2.54e-003	9.2523e-003
766	0.44094	7.5738e-002	2.54e-003	8.8349e-003
767	0.44106	0.10624	2.54e-003	8.8429e-003
768	0.48286	9.1195e-002	2.54e-003	1.0087e-002
769	0.46889	7.589e-002	2.54e-003	9.6665e-003
770	0.46899	0.10637	2.54e-003	9.6743e-003
771	0.5108	9.1312e-002	2.54e-003	1.0927e-002
772	0.49679	7.6033e-002	2.54e-003	1.0503e-002
773	0.49683	0.10652	2.54e-003	1.0509e-002
774	0.53881	9.1381e-002	2.54e-003	1.1772e-002
775	0.52474	7.6083e-002	2.54e-003	1.1344e-002
776	0.52489	0.10658	2.54e-003	1.1354e-002
777	0.55291	7.613e-002	2.54e-003	1.2195e-002
778	0.55302	0.10664	2.54e-003	1.2204e-002
779	0.56692	9.144e-002	2.54e-003	1.2621e-002
780	0.53884	6.0832e-002	2.54e-003	1.1766e-002
781	0.567	6.0822e-002	2.54e-003	1.2617e-002
782	0.55315	4.5567e-002	2.54e-003	1.2195e-002
783	0.51074	6.0804e-002	2.54e-003	1.0919e-002
784	0.525	4.5528e-002	2.54e-003	1.1345e-002
785	0.48283	6.0727e-002	2.54e-003	1.008e-002
786	0.49707	4.5382e-002	2.54e-003	1.0503e-002
787	0.45492	6.0577e-002	2.54e-003	9.2465e-003
788	0.46915	4.5324e-002	2.54e-003	9.6664e-003
789	0.42702	6.0467e-002	2.54e-003	8.42e-003
790	0.44124	4.5264e-002	2.54e-003	8.8356e-003
791	0.3991	6.0678e-002	2.54e-003	7.6029e-003
792	0.41333	4.5219e-002	2.54e-003	8.0129e-003
793	0.37114	6.1183e-002	2.54e-003	6.7971e-003
794	0.38531	4.5656e-002	2.54e-003	7.198e-003
795	0.34332	6.1522e-002	2.54e-003	6.0119e-003
796	0.35734	4.611e-002	2.54e-003	6.3994e-003
797	0.31591	6.1973e-002	2.54e-003	5.2575e-003
798	0.3297	4.5777e-002	2.54e-003	5.6275e-003
799	0.28827	6.2117e-002	2.54e-003	4.5201e-003
800	0.30209	4.608e-002	2.54e-003	4.8781e-003
801	0.25968	6.1617e-002	2.54e-003	3.787e-003
802	0.27418	4.6322e-002	2.54e-003	4.1471e-003
803	0.2308	6.0845e-002	2.54e-003	3.0826e-003
804	0.2455	4.6072e-002	2.54e-003	3.4281e-003
805	0.20261	5.8879e-002	2.54e-003	2.4348e-003
806	0.21695	4.529e-002	2.54e-003	2.7506e-003
807	0.18876	4.3066e-002	2.54e-003	2.1237e-003
808	0.1759	5.5914e-002	2.54e-003	1.863e-003
809	0.16574	0.12556	2.54e-003	1.6563e-003
810	0.14196	0.13569	2.54e-003	1.1943e-003
811	0.14361	0.12517	2.54e-003	1.2339e-003
812	0.15869	0.14232	2.54e-003	1.5047e-003
813	0.19498	0.12004	2.54e-003	2.2674e-003
814	0.16195	0.11041	2.54e-003	1.5895e-003
815	0.18372	0.13565	2.54e-003	2.0168e-003
816	0.22856	0.12148	2.54e-003	3.0286e-003
817	0.21587	0.13679	2.54e-003	2.7237e-003
818	0.25852	0.12215	2.54e-003	3.7576e-003
819	0.24523	0.13709	2.54e-003	3.4202e-003
820	0.2874	0.1226	2.54e-003	4.4981e-003
821	0.27376	0.13747	2.54e-003	4.1368e-003
822	0.31581	0.12274	2.54e-003	5.2569e-003
823	0.30204	0.13754	2.54e-003	4.8797e-003
824	0.344	0.12317	2.54e-003	6.0348e-003
825	0.3301	0.1376	2.54e-003	5.6438e-003
826	0.37193	0.12276	2.54e-003	6.8255e-003
827	0.35816	0.13797	2.54e-003	6.4301e-003
828	0.39958	0.12183	2.54e-003	7.6239e-003
