Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Elastic Strain (m/m)
363	9.5602e-002	9.305e-002	0.	6.8108e-005
364	9.7341e-002	9.8667e-002	1.27e-003	-8.7768e-013
365	9.9978e-002	0.10013	0.	1.0948e-004
366	0.13983	0.11002	0.	2.8455e-005
367	0.14361	0.12517	0.	2.6815e-005
368	0.12847	0.12318	0.	1.8289e-005
369	0.13255	0.11811	1.27e-003	-2.0912e-021
370	0.1197	0.11621	0.	2.1319e-005
371	6.3496e-002	2.1159e-002	0.	3.5139e-005
372	7.802e-002	2.3792e-002	0.	2.8533e-005
373	7.5725e-002	1.7591e-002	1.27e-003	-8.8853e-022
374	7.6343e-002	8.7957e-003	0.	2.6608e-005
375	8.917e-002	1.5146e-002	0.	2.2019e-005
376	4.6761e-002	5.3747e-002	0.	1.8593e-005
377	5.7355e-002	3.7371e-002	0.	3.3934e-005
378	7.1879e-002	4.0004e-002	0.	3.2847e-005
379	6.5499e-002	5.9261e-002	0.	3.0493e-005
380	6.3442e-002	5.0016e-002	1.27e-003	4.2149e-014
381	8.3029e-002	4.4058e-002	0.	3.2736e-005
382	0.1434	2.0576e-002	0.	2.4183e-005
383	0.12762	2.0313e-002	0.	1.8759e-005
384	0.13022	1.4819e-002	1.27e-003	-2.0617e-013
385	0.1325	7.4097e-003	0.	1.757e-005
386	0.11853	1.376e-002	0.	1.5078e-005
387	7.8573e-002	0.12494	0.	3.2365e-005
388	6.4353e-002	0.1303	0.	3.473e-005
389	7.6432e-002	0.13373	1.27e-003	-7.6355e-022
390	7.6697e-002	0.14307	0.	2.8902e-005
391	8.9524e-002	0.13672	0.	2.0653e-005
392	8.4904e-002	0.11058	0.	3.8023e-005
393	7.0497e-002	0.1099	0.	3.6763e-005
394	8.0713e-002	0.11615	1.27e-003	2.3686e-013
395	9.1664e-002	0.12158	0.	3.2456e-005
396	8.2578e-002	9.5292e-002	0.	4.5446e-005
397	8.9095e-002	0.10501	1.27e-003	4.5318e-013
398	9.5856e-002	0.10965	0.	2.838e-005
399	0.14196	0.13569	0.	2.2549e-005
400	0.12682	0.1337	0.	1.5056e-005
401	0.12925	0.13915	1.27e-003	-1.0153e-021
402	0.13202	0.14577	0.	1.7765e-005
403	0.11805	0.13942	0.	1.3514e-005
404	0.16195	0.11041	0.	2.2272e-005
405	0.13998	9.3882e-002	0.	2.7225e-005
406	0.15419	9.1271e-002	0.	2.1536e-005
407	0.14711	0.10193	1.27e-003	-4.119e-014
408	0.12698	0.10176	0.	3.4345e-005
409	4.0831e-002	0.12397	0.	2.4245e-005
410	5.6277e-002	0.11526	0.	3.0586e-005
411	5.2274e-002	0.12687	1.27e-003	-6.9981e-014
412	5.1791e-002	0.13963	0.	3.7167e-005
413	0.15982	4.0378e-002	0.	2.2752e-005
414	0.1759	5.5914e-002	0.	2.2778e-005
415	0.16217	6.7518e-002	0.	2.3388e-005
416	0.16306	5.4422e-002	1.27e-003	-8.1568e-014
417	7.1808e-002	7.704e-002	0.	2.6244e-005
418	8.4962e-002	8.6503e-002	0.	5.9906e-005
419	6.8171e-002	9.461e-002	0.	2.5062e-005
420	7.6061e-002	8.5574e-002	1.27e-003	-2.1576e-013
421	3.2489e-002	7.2798e-002	0.	3.7196e-006
422	2.8444e-002	4.337e-002	0.	9.8826e-006
423	3.008e-002	5.7479e-002	1.27e-003	-3.2179e-013
424	1.504e-002	5.922e-002	0.	2.9259e-006
425	3.2143e-002	0.10459	0.	7.9544e-006
426	5.1227e-002	7.8312e-002	0.	1.6263e-005
427	4.7589e-002	9.5882e-002	0.	1.4354e-005
428	3.4898e-002	8.8118e-002	1.27e-003	9.7609e-014
429	1.7449e-002	8.9779e-002	0.	2.3868e-007
430	2.9388e-002	0.12107	1.27e-003	8.6187e-014
431	2.7521e-002	0.13673	0.	2.3981e-005
432	1.4694e-002	0.12149	0.	6.5804e-006
433	3.9038e-002	2.6994e-002	0.	2.5316e-005
434	5.1267e-002	2.4727e-002	1.27e-003	-4.1622e-013
435	5.1288e-002	1.2363e-002	0.	3.947e-005
436	0.17268	2.753e-002	0.	2.2129e-005
437	0.14462	3.1866e-002	0.	2.5567e-005
438	0.15658	2.6333e-002	1.27e-003	5.5799e-014
439	0.15965	1.3167e-002	0.	2.519e-005
440	0.20311	2.9478e-002	0.	2.2014e-005
441	0.18876	4.3066e-002	0.	2.2006e-005
442	0.18878	2.8726e-002	1.27e-003	2.3944e-013
443	0.18971	1.4363e-002	0.	2.355e-005
444	0.23165	3.0517e-002	0.	2.0019e-005
445	0.21695	4.529e-002	0.	2.0549e-005
446	0.21743	3.023e-002	1.27e-003	8.5557e-015
447	0.218	1.5115e-002	0.	2.1711e-005
448	0.26	3.0777e-002	0.	1.7882e-005
449	0.2455	4.6072e-002	0.	1.8615e-005
450	0.24586	3.0805e-002	1.27e-003	-4.5641e-013
451	0.24618	1.5403e-002	0.	1.9416e-005
452	0.288	3.0286e-002	0.	1.5522e-005
453	0.27418	4.6322e-002	0.	1.651e-005
454	0.27413	3.0749e-002	1.27e-003	-1.005e-022
455	0.27428	1.5375e-002	0.	1.6874e-005
456	0.31588	2.9884e-002	0.	1.2888e-005
457	0.30209	4.608e-002	0.	1.4128e-005
458	0.30186	2.9822e-002	1.27e-003	1.8807e-015
459	0.30211	1.4911e-002	0.	1.4111e-005
460	0.34372	3.0365e-002	0.	1.0497e-005
461	0.3297	4.5777e-002	0.	1.1582e-005
462	0.32989	2.9947e-002	1.27e-003	-7.8444e-016
463	0.33009	1.4974e-002	0.	1.1627e-005
464	0.37151	3.0584e-002	0.	8.3592e-006
465	0.35734	4.611e-002	0.	9.3295e-006
466	0.35754	3.0783e-002	1.27e-003	1.1649e-013
467	0.35788	1.5392e-002	0.	9.3236e-006
468	0.39954	3.0197e-002	0.	6.4606e-006
469	0.38531	4.5656e-002	0.	7.3205e-006
470	0.38547	3.0384e-002	1.27e-003	-4.3383e-015
471	0.38581	1.5192e-002	0.	7.3046e-006
472	0.42756	3.0016e-002	0.	4.7951e-006
473	0.41333	4.5219e-002	0.	5.5227e-006
474	0.41361	3.0009e-002	1.27e-003	1.7702e-013
475	0.41385	1.5005e-002	0.	5.5358e-006
476	0.45547	3.0012e-002	0.	3.3756e-006
477	0.44124	4.5264e-002	0.	3.9816e-006
478	0.44151	3.0023e-002	1.27e-003	6.1058e-014
479	0.44177	1.5012e-002	0.	3.9995e-006
480	0.48339	2.9979e-002	0.	2.1963e-006
481	0.46915	4.5324e-002	0.	2.6809e-006
482	0.46943	3.e-002	1.27e-003	1.1039e-013
483	0.46969	1.5e-002	0.	2.7049e-006
484	0.51133	3.0106e-002	0.	1.254e-006
485	0.49707	4.5382e-002	0.	1.6181e-006
486	0.49736	2.9958e-002	1.27e-003	1.4485e-013
487	0.49762	1.4979e-002	0.	1.652e-006
488	0.5393	3.0263e-002	0.	5.4814e-007
489	0.525	4.5528e-002	0.	7.8629e-007
490	0.5253	3.0254e-002	1.27e-003	1.4728e-013
491	0.52555	1.5127e-002	0.	8.2869e-007
492	0.56733	3.0315e-002	0.	7.5223e-008
493	0.55315	4.5567e-002	0.	1.9452e-007
494	0.55331	3.0272e-002	1.27e-003	2.0687e-013
495	0.55352	1.5136e-002	0.	2.4247e-007
496	0.58118	4.557e-002	0.	-1.7638e-007
497	0.58134	3.0358e-002	1.27e-003	2.0145e-013
498	0.58151	1.5179e-002	0.	-9.7047e-008
499	0.59547	3.0419e-002	0.	-1.5894e-007
500	0.58101	7.6131e-002	0.	-2.4839e-007
501	0.567	6.0822e-002	0.	-5.8272e-008
502	0.58101	6.0782e-002	1.27e-003	1.8451e-013
503	0.5953	6.0871e-002	0.	-3.065e-007
504	0.58113	0.10663	0.	-1.7523e-007
505	0.56692	9.144e-002	0.	-5.8583e-008
506	0.58101	9.1481e-002	1.27e-003	1.6346e-013
507	0.5953	9.146e-002	0.	-3.0607e-007
508	0.56724	0.12183	0.	7.7613e-008
509	0.58126	0.12178	1.27e-003	2.0116e-013
