Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Stress (Pa)
172	0.44151	3.0023e-002	2.54e-003	9.1033e+005
173	0.41361	3.0009e-002	2.54e-003	1.2289e+006
174	0.38547	3.0384e-002	2.54e-003	1.5977e+006
175	0.35754	3.0783e-002	2.54e-003	2.0117e+006
176	0.32989	2.9947e-002	2.54e-003	2.4725e+006
177	0.30186	2.9822e-002	2.54e-003	2.9855e+006
178	0.27413	3.0749e-002	2.54e-003	3.5438e+006
179	0.24586	3.0805e-002	2.54e-003	4.1474e+006
180	0.21743	3.023e-002	2.54e-003	4.8024e+006
181	0.18878	2.8726e-002	2.54e-003	5.372e+006
182	0.15658	2.6333e-002	2.54e-003	5.4312e+006
183	5.1267e-002	2.4727e-002	2.54e-003	9.2162e+006
184	2.9388e-002	0.12107	2.54e-003	8.9816e+006
185	3.4898e-002	8.8118e-002	2.54e-003	9.4084e+006
186	3.008e-002	5.7479e-002	2.54e-003	9.7469e+006
187	7.6061e-002	8.5574e-002	2.54e-003	1.0951e+007
188	0.16306	5.4422e-002	2.54e-003	6.2552e+006
189	5.2274e-002	0.12687	2.54e-003	9.1213e+006
190	0.14711	0.10193	2.54e-003	6.8591e+006
191	0.12925	0.13915	2.54e-003	4.2365e+006
192	8.9095e-002	0.10501	2.54e-003	1.1226e+007
193	8.0713e-002	0.11615	2.54e-003	8.0304e+006
194	7.6432e-002	0.13373	2.54e-003	6.6447e+006
195	0.13022	1.4819e-002	2.54e-003	4.6396e+006
196	6.3442e-002	5.0016e-002	2.54e-003	8.9319e+006
197	7.5725e-002	1.7591e-002	2.54e-003	6.3102e+006
198	0.13255	0.11811	2.54e-003	5.8277e+006
199	9.7341e-002	9.8667e-002	2.54e-003	1.9138e+007
200	9.67e-002	7.113e-002	2.54e-003	1.4448e+007
201	0.13699	5.2584e-002	2.54e-003	8.3919e+006
202	0.1375	6.9458e-002	2.54e-003	9.5858e+006
203	0.10685	0.1397	2.54e-003	2.3014e+006
204	0.10685	0.127	2.54e-003	4.8039e+006
205	0.10685	0.1143	2.54e-003	7.9045e+006
206	0.10685	0.1016	2.54e-003	2.6696e+007
207	0.10262	0.1016	2.54e-003	4.287e+007
