Node Number	X Location (m)	Y Location (m)	Z Location (m)	Minimum Principal Stress (Pa)
299	0.52581	0.	0.	-2.3163e+005
300	0.55374	0.	0.	-1.0557e+005
301	0.58167	0.	0.	-26431
302	0.10685	0.	0.	-3.1651e+006
303	0.6096	0.	0.	2372.
304	1.0658e-015	0.12192	0.	-1.3776e+007
305	7.9936e-016	9.144e-002	0.	-1.438e+007
306	5.3291e-016	6.096e-002	0.	-1.435e+007
307	2.6645e-016	3.048e-002	0.	-1.3505e+007
308	0.6096	3.048e-002	0.	-14518
309	0.6096	6.096e-002	0.	-20762
310	0.6096	9.144e-002	0.	-20857
311	0.6096	0.12192	0.	-14882
312	0.6096	0.1524	0.	2393.
313	0.58167	0.1524	0.	-26128
314	0.55374	0.1524	0.	-1.0568e+005
315	0.52581	0.1524	0.	-2.3137e+005
316	0.49788	0.1524	0.	-4.0455e+005
317	0.46995	0.1524	0.	-6.2608e+005
318	0.44202	0.1524	0.	-8.957e+005
319	0.41409	0.1524	0.	-1.2137e+006
320	0.38616	0.1524	0.	-1.58e+006
321	0.35822	0.1524	0.	-2.0064e+006
322	0.33029	0.1524	0.	-2.4698e+006
323	0.30236	0.1524	0.	-2.9894e+006
324	0.27443	0.1524	0.	-3.5672e+006
325	0.2465	0.1524	0.	-4.2424e+006
326	0.21857	0.1524	0.	-4.8808e+006
327	0.19064	0.1524	0.	-5.3652e+006
328	0.16271	0.1524	0.	-5.2645e+006
329	0.13478	0.1524	0.	-4.081e+006
330	0.10685	0.1524	0.	-2.8031e+006
331	0.10262	3.81e-002	0.	-1.2632e+007
332	0.10262	2.54e-002	0.	-1.1982e+007
333	0.10262	1.27e-002	0.	-6.6426e+006
334	0.10262	5.08e-002	0.	-3.0119e+007
335	0.10685	1.27e-002	0.	-3.2872e+006
336	0.10685	2.54e-002	0.	-7.2498e+006
337	0.10685	3.81e-002	0.	-1.0071e+007
338	0.10685	5.08e-002	0.	-2.5893e+007
339	0.10262	0.1143	0.	-1.0497e+007
340	0.10262	0.127	0.	-7.6707e+006
341	0.10262	0.1397	0.	-5.3268e+006
342	0.10262	0.1016	0.	-4.287e+007
343	0.10685	0.1397	0.	-2.3014e+006
344	0.10685	0.127	0.	-4.8039e+006
345	0.10685	0.1143	0.	-7.9045e+006
346	0.10685	0.1016	0.	-2.6696e+007
347	0.13724	6.1021e-002	0.	-8.98e+006
348	0.12692	6.7153e-002	0.	-1.0323e+007
349	0.13517	7.7647e-002	0.	-1.0057e+007
350	0.14939	7.5037e-002	0.	-8.0863e+006
351	0.1375	6.9458e-002	1.27e-003	-3.3316e+005
352	0.15002	5.3503e-002	0.	-7.3034e+006
353	0.13482	4.4991e-002	0.	-7.45e+006
354	0.13699	5.2584e-002	1.27e-003	-2.5851e+005
355	0.12192	5.1692e-002	0.	-1.7004e+007
356	8.638e-002	7.8352e-002	0.	-1.2604e+007
357	0.10652	6.7989e-002	0.	-1.2614e+007
358	9.979e-002	7.5047e-002	0.	-1.4441e+007
359	9.67e-002	7.113e-002	1.27e-003	-3.9014e+005
360	9.9658e-002	6.0965e-002	0.	-2.2098e+007
361	9.3218e-002	0.10184	0.	-1.5141e+007
362	9.9408e-002	9.5958e-002	0.	-1.9969e+007
363	9.5602e-002	9.305e-002	0.	-1.6863e+007
364	9.7341e-002	9.8667e-002	1.27e-003	-1.3805e+006
365	9.9978e-002	0.10013	0.	-3.0773e+007
366	0.13983	0.11002	0.	-6.3182e+006
