Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
345	15.566	2.9445	0.1	0.27956
346	14.636	2.1999	0.1	0.2536
347	14.645	3.64	0.1	0.25387
348	17.423	2.9024	0.1	0.3323
349	16.501	2.2229	0.1	0.30591
350	16.511	3.6671	0.1	0.3062
351	19.267	2.5108	0.1	0.3856
352	18.364	2.2541	0.1	0.35939
353	18.398	3.5979	0.1	0.36038
354	7.3608	1.7532	0.1	7.4336e-002
355	7.5115	3.0033	0.1	7.7736e-002
356	8.2859	2.5655	0.1	9.4113e-002
357	6.8635	2.5173	0.1	6.464e-002
358	6.3312	1.9281	0.1	5.4136e-002
359	7.1475	3.5089	0.1	7.0264e-002
360	6.4182	3.5538	0.1	5.6068e-002
361	6.4995	3.0229	0.1	5.7691e-002
362	5.5648	2.8392	0.1	4.12e-002
363	5.9866	3.4078	0.1	4.8233e-002
364	6.0679	2.8768	0.1	4.9739e-002
365	5.6092	3.231	0.1	4.1898e-002
366	4.3801	3.0924	0.1	2.5042e-002
367	3.8478	2.4309	0.1	1.9329e-002
368	4.6169	3.6406	0.1	2.7555e-002
369	4.7468	3.0041	0.1	2.9471e-002
370	4.5753	2.4573	0.1	2.7211e-002
371	4.8632	2.4517	0.1	3.0735e-002
372	2.4135	4.4348	0.1	7.4773e-003
373	4.1603	4.84	0.1	2.1307e-002
374	3.3103	5.34	0.1	1.3179e-002
375	1.8421	3.2111	0.1	4.5539e-003
376	0.80319	4.0948	0.1	8.5263e-004
377	1.6532	5.0948	0.1	3.3267e-003
378	2.8199	1.9066	0.1	1.0397e-002
379	1.039	2.1163	0.1	1.4382e-003
380	1.889	1.1163	0.1	4.5263e-003
381	4.043	1.7958	0.1	2.0939e-002
382	4.3309	1.2903	0.1	2.3209e-002
383	3.4809	0.79026	0.1	1.4766e-002
384	19.283	1.9163	0.1	0.38602
385	20.249	3.1594	0.1	0.4142
386	21.138	2.1109	0.1	0.44018
387	20.22	1.0865	0.1	0.41326
388	17.442	1.5746	0.1	0.33273
389	18.38	0.82981	0.1	0.35968
390	15.57	1.4783	0.1	0.27949
391	16.505	0.74477	0.1	0.30576
392	13.7	1.4634	0.1	0.22782
393	14.635	0.73354	0.1	0.25317
394	11.827	1.4186	0.1	0.17826
395	12.762	0.72982	0.1	0.20234
396	10.014	1.359	0.1	0.13316
397	10.888	0.68875	0.1	0.15407
398	8.2322	1.2454	0.1	9.2378e-002
399	9.1573	2.0577	0.1	0.11342
400	9.0759	0.67029	0.1	0.11072
401	6.2962	1.0751	0.1	5.2706e-002
402	7.2329	0.57513	0.1	7.0743e-002
403	7.1965	3.9954	0.1	7.1064e-002
404	6.4672	4.0403	0.1	5.6752e-002
405	6.0162	4.4202	0.1	4.803e-002
406	8.2887	4.0248	0.1	9.3987e-002
407	9.9041	4.4226	0.1	0.13065
408	9.0631	3.587	0.1	0.11136
409	8.9818	5.1995	0.1	0.10877
410	11.808	4.4224	0.1	0.17782
411	10.872	5.2231	0.1	0.15374
412	13.706	4.3729	0.1	0.22803
413	12.759	5.1993	0.1	0.20228
414	15.589	4.3626	0.1	0.28007
415	14.644	5.1736	0.1	0.25345
416	17.486	4.3626	0.1	0.334
417	16.515	5.189	0.1	0.30605
418	19.379	4.2465	0.1	0.38881
419	18.414	5.1736	0.1	0.36065
420	21.219	4.0863	0.1	0.44254
421	20.282	5.073	0.1	0.41506
422	22.108	3.0377	0.1	0.46861
423	22.127	5.0133	0.1	0.46909
424	23.064	4.0133	0.1	0.49661
425	23.045	2.0244	0.1	0.49607
426	22.108	1.0244	0.1	0.46855
