Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
418,19.323,1.9118,0.1,7.2243e-06,72.193,6.9706e-06,66.045,-1.7921e-06,0.2049,-3.304e-06,-11.155,0.41608
419,18.648,1.9039,0.1,9.1802e-06,91.738,8.947e-06,85.891,-2.4451e-06,0.29513,-3.9421e-06,-10.953,0.39521
420,17.979,1.9039,0.1,1.139e-05,113.82,1.1172e-05,108.19,-3.1948e-06,0.24165,-4.6522e-06,-10.709,0.3746
421,17.31,1.9039,0.1,1.3853e-05,138.43,1.3649e-05,133.04,-4.0255e-06,0.24529,-5.4424e-06,-10.401,0.35409
422,16.64,1.9039,0.1,1.6573e-05,165.62,1.6383e-05,160.5,-4.9457e-06,0.2423,-6.3088e-06,-9.9997,0.3337
423,15.971,1.9039,0.1,1.9548e-05,195.34,1.9373e-05,190.56,-5.9565e-06,0.23859,-7.2468e-06,-9.4563,0.31346
424,15.302,1.9039,0.1,2.2774e-05,227.58,2.2616e-05,223.2,-7.0594e-06,0.23284,-8.2516e-06,-8.7249,0.29339
425,14.633,1.9039,0.1,2.6247e-05,262.29,2.611e-05,258.44,-8.256e-06,0.22671,-9.3165e-06,-7.7414,0.27352
426,13.964,1.9039,0.1,2.9961e-05,299.4,2.985e-05,296.24,-9.5498e-06,0.20998,-1.0432e-05,-6.4189,0.25389
427,13.295,1.9039,0.1,3.3912e-05,338.89,3.3833e-05,336.63,-1.0944e-05,0.18892,-1.1588e-05,-4.6511,0.23452
428,12.626,1.9039,0.1,3.8091e-05,380.65,3.8055e-05,379.6,-1.2443e-05,0.17558,-1.2767e-05,-2.2564,0.21545
429,11.951,1.9108,0.1,4.2511e-05,424.82,4.2531e-05,425.4,-1.3959e-05,0.96107,-1.4059e-05,0.21138,0.19656
430,11.279,1.9314,0.1,4.713e-05,470.97,4.7222e-05,473.73,-1.5114e-05,5.3612,-1.5802e-05,0.19257,0.17814
431,10.611,1.9525,0.1,5.1941e-05,519.05,5.2125e-05,524.64,-1.6201e-05,11.268,-1.7687e-05,0.098496,0.16027
432,9.9392,1.9662,0.1,5.7022e-05,569.83,5.733e-05,579.33,-1.7214e-05,19.239,-1.9743e-05,0.23713,0.14274
433,9.2523,1.9934,0.1,6.2581e-05,625.38,6.3008e-05,638.94,-1.819e-05,28.85,-2.2121e-05,-0.68843,0.12537
