Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
287	24.	2.4	0.	123.58
288	24.	3.6	0.	123.67
289	24.	4.8	0.	80.886
290	24.	6.	0.	54.472
291	22.869	6.	0.	68.771
292	21.738	6.	0.	58.564
293	20.607	6.	0.	47.014
294	19.476	6.	0.	36.282
295	18.345	6.	0.	26.932
296	17.214	6.	0.	21.449
297	16.083	6.	0.	14.923
298	14.952	6.	0.	8.3186
299	13.821	6.	0.	8.4112
300	12.69	6.	0.	9.8196
301	11.56	6.	0.	35.471
302	10.429	6.	0.	160.42
303	9.2976	6.	0.	181.23
304	8.1667	6.	0.	-271.18
305	8.	1.5	0.	3521.4
306	8.	1.	0.	-260.27
307	8.	0.5	0.	-365.12
308	8.	2.	0.	1006.3
309	8.1667	0.5	0.	-286.6
310	8.1667	1.	0.	510.02
311	8.1667	1.5	0.	2500.1
312	8.1667	2.	0.	4.1132
313	8.	4.5	0.	2607.9
314	8.	5.	0.	1648.6
315	8.	5.5	0.	-378.93
316	8.	4.	0.	686.2
317	8.1667	5.5	0.	-233.31
318	8.1667	5.	0.	-282.1
319	8.1667	4.5	0.	2037.2
320	8.1667	4.	0.	-349.97
321	6.9023	2.6394	0.	572.23
322	8.0554	2.669	0.	1371.2
323	7.4569	3.0097	0.	1289.2
324	7.4522	2.6951	5.e-002	184.81
325	7.7261	2.3476	0.	1204.9
326	9.1608	3.2945	0.	467.14
327	8.6376	2.9526	0.	1368.9
328	8.039	3.2933	0.	1350.7
329	8.6166	3.2622	5.e-002	237.83
330	8.3916	3.6311	0.	528.5
331	9.5289	1.0862	0.	192.73
332	8.9197	1.2003	0.	574.41
333	9.2824	1.6196	0.	184.26
334	9.0079	1.3946	5.e-002	310.63
335	8.5873	1.4473	0.	1056.8
336	7.2122	1.2816	0.	549.07
337	7.0779	1.7246	0.	306.7
338	7.368	1.4779	5.e-002	324.65
339	7.684	1.489	0.	1745.8
340	6.3002	2.9937	0.	79.294
341	5.7159	2.4049	0.	109.49
342	6.57	2.2775	0.	99.377
343	6.3523	2.5837	5.e-002	256.1
344	10.367	3.4909	0.	34.22
345	9.5192	3.6278	0.	21.695
346	9.7391	2.9373	0.	20.191
347	9.705	3.3268	5.e-002	217.24
348	6.371	0.70833	0.	248.23
349	6.9861	0.83259	0.	395.24
350	6.9158	0.57993	5.e-002	114.86
351	6.8865	0.28997	0.	194.47
352	7.4579	0.53997	0.	-127.77
353	9.5952	0.65817	0.	58.634
354	8.9859	0.77221	0.	657.92
355	9.1404	0.53844	5.e-002	106.39
356	9.219	0.26922	0.	210.13
357	8.6536	0.51922	0.	-87.16
358	6.6071	4.9561	0.	432.14
359	7.1859	4.8779	0.	688.28
360	6.7503	4.418	0.	423.16
361	7.0074	4.713	5.e-002	400.85
362	7.5037	4.6065	0.	1317.1
363	9.8008	5.2302	0.	197.19
364	9.2068	5.0926	0.	372.79
365	9.2945	5.3708	5.e-002	78.996
366	9.296	5.6854	0.	209.04
367	8.7306	5.4354	0.	-101.71
368	6.6938	5.2979	0.	283.71
369	7.2726	5.2196	0.	645.79
370	7.1807	5.3965	5.e-002	183.27
371	7.0189	5.6983	0.	109.56
372	7.5903	5.4483	0.	-106.7
373	5.3159	0.97382	0.	62.295
374	5.9884	1.1716	0.	315.47
375	5.8262	0.83672	5.e-002	57.002
376	5.7703	0.41836	0.	189.22
377	5.666	3.4273	0.	-23.886
378	6.3707	3.7633	0.	-26.693
379	6.8548	3.364	0.	495.59
380	6.2481	3.4037	5.e-002	89.712
381	5.7054	4.9431	0.	-13.826
382	6.2069	5.1992	5.e-002	114.65
383	5.9606	5.5996	0.	50.476
384	4.4676	4.7125	0.	23.172
385	5.144	4.069	0.	-52.675
386	5.8486	4.405	0.	-27.852
387	5.204	4.687	5.e-002	38.912
388	4.8877	5.3435	0.	-7.568
389	3.7751	4.1256	0.	93.105
390	3.0886	4.7515	0.	-71.835
391	3.7312	4.7379	5.e-002	7.3234
392	3.5799	5.369	0.	29.563
393	1.2284	4.1879	0.	1090.2
394	1.8309	4.774	0.	400.76
395	1.2158	4.7829	5.e-002	60.187
396	1.1793	5.3914	0.	851.32
397	0.60789	4.7914	0.	-1404.9
398	1.777	1.2063	0.	406.47
399	1.2025	1.8092	0.	1087.8
400	1.1811	1.2087	5.e-002	59.287
401	1.162	0.60433	0.	847.15
402	0.59055	1.2043	0.	-1403.4
403	2.9798	1.1946	0.	-72.257
404	2.4167	1.7987	0.	-220.4
405	2.3728	1.204	5.e-002	34.257
406	2.3293	0.60199	0.	-195.35
407	4.1962	1.1481	0.	3.8416
408	3.6595	1.7672	0.	77.286
409	3.5867	1.1853	5.e-002	22.888
410	3.5076	0.59265	0.	15.958
411	4.9426	1.6684	0.	-15.409
412	4.8057	1.1109	5.e-002	38.664
413	4.6885	0.55546	0.	-29.036
414	10.475	1.0368	0.	-32.081
415	10.05	0.7779	5.e-002	75.572
416	10.239	0.38895	0.	-21.003
417	11.637	1.249	0.	-6.4143
