Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
540	11.014	2.406	5.e-002	0.63438
541	12.942	2.3876	0.	0.8586
542	12.329	2.975	0.	0.78551
543	12.301	2.3789	5.e-002	0.78167
544	14.203	2.4025	0.	1.0156
545	13.596	2.9906	0.	0.93957
546	13.584	2.3962	5.e-002	0.93757
547	15.411	2.4179	0.	1.1727
548	14.823	3.0074	0.	1.0959
549	14.822	2.4088	5.e-002	1.0953
550	16.577	2.4311	0.	1.3298
551	16.	3.0214	0.	1.2519
552	16.	2.4269	5.e-002	1.2515
553	17.726	2.4317	0.	1.4889
554	17.158	3.0312	0.	1.4101
555	17.154	2.4353	5.e-002	1.4092
556	18.871	2.4197	0.	1.6509
557	18.301	3.0262	0.	1.5703
558	18.298	2.4281	5.e-002	1.5694
559	20.014	2.4044	0.	1.8157
560	19.44	3.0112	0.	1.733
561	19.443	2.4112	5.e-002	1.733
562	21.152	2.3978	0.	1.9821
563	20.581	2.9951	0.	1.8987
564	20.586	2.3975	5.e-002	1.899
565	21.714	2.997	0.	2.0651
566	21.719	2.398	5.e-002	2.0655
567	21.143	3.5943	0.	1.9812
568	21.709	3.596	5.e-002	2.0645
569	20.007	3.6019	0.	1.8152
570	20.577	3.5926	5.e-002	1.8982
571	18.871	3.6177	0.	1.6514
572	19.437	3.6111	5.e-002	1.7327
573	17.733	3.6257	0.	1.4903
574	18.304	3.6243	5.e-002	1.5707
575	16.581	3.6215	0.	1.3307
576	17.162	3.6271	5.e-002	1.4106
577	15.412	3.6109	0.	1.1733
578	16.	3.6158	5.e-002	1.2518
579	14.216	3.5955	0.	1.0177
580	14.824	3.606	5.e-002	1.096
581	12.982	3.5781	0.	0.86394
582	13.608	3.5851	5.e-002	0.94103
583	11.693	3.6131	0.	0.71135
584	10.549	4.0157	0.	0.58354
585	11.029	3.655	5.e-002	0.63636
586	5.6151	1.8662	0.	0.16758
587	5.0795	2.226	5.e-002	0.1387
588	12.357	3.5712	5.e-002	0.78877
589	9.0073	4.6136	0.	0.42325
590	9.5943	4.5954	0.	0.48219
591	9.119	4.8144	5.e-002	0.43344
592	8.6429	4.9072	0.	0.38603
593	9.1145	4.1708	0.	0.43533
594	8.8956	4.4129	5.e-002	0.41302
595	8.5311	4.4564	0.	0.3778
596	9.7015	4.1526	0.	0.49425
597	9.3334	3.9288	5.e-002	0.4575
598	8.75	3.9644	0.	0.40086
599	6.6035	1.2958	0.	0.22675
600	7.0564	1.0852	5.e-002	0.25605
601	7.5282	1.0426	0.	0.28889
602	6.4692	1.7389	0.	0.21989
603	6.7878	1.9714	5.e-002	0.242
604	7.3939	1.9857	0.	0.28548
605	2.446	4.765	5.e-002	3.136e-002
606	2.3659	5.3825	0.	2.74e-002
607	7.3644	5.0428	5.e-002	0.27695
608	7.6822	5.0214	0.	0.29987
609	6.4932	4.123	5.e-002	0.22202
610	7.2466	4.0615	0.	0.27451
611	8.8314	1.006	5.e-002	0.40311
612	8.4991	1.003	0.	0.37062
613	9.665	2.1962	0.	0.49056
614	9.5568	1.8446	5.e-002	0.4788
615	8.8618	1.9223	0.	0.41057
616	9.2159	2.5954	0.	0.44646
617	8.6585	2.6429	5.e-002	0.39392
