Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
296	16.545	2.3636	0.	5.7196e-005
297	16.545	2.1818	0.	5.5805e-005
298	16.545	2.	0.	5.4215e-005
299	16.545	1.8182	0.	5.2524e-005
300	16.545	1.6364	0.	5.0837e-005
301	16.545	1.4545	0.	4.925e-005
302	16.545	1.2727	0.	4.7842e-005
303	16.545	1.0909	0.	4.6668e-005
304	16.545	0.90909	0.	4.5763e-005
305	16.545	0.72727	0.	4.5146e-005
306	16.545	0.54545	0.	4.483e-005
307	16.545	0.36364	0.	4.4812e-005
308	16.545	0.18182	0.	4.5119e-005
309	16.362	5.8182	0.	4.8274e-005
310	16.362	5.6364	0.	4.7966e-005
311	16.362	5.4545	0.	4.7942e-005
312	16.362	5.2727	0.	4.8175e-005
313	16.362	5.0909	0.	4.8665e-005
314	16.362	4.9091	0.	4.9394e-005
315	16.362	4.7273	0.	5.0339e-005
316	16.362	4.5455	0.	5.1465e-005
317	16.362	4.3636	0.	5.2724e-005
318	16.362	4.1818	0.	5.4052e-005
319	16.362	4.	0.	5.5377e-005
320	16.362	3.8182	0.	5.6622e-005
321	16.362	3.6364	0.	5.7713e-005
322	16.362	3.4545	0.	5.8587e-005
323	16.362	3.2727	0.	5.9196e-005
324	16.362	3.0909	0.	5.9508e-005
325	16.362	2.9091	0.	5.9508e-005
326	16.362	2.7273	0.	5.9196e-005
327	16.362	2.5455	0.	5.8587e-005
328	16.362	2.3636	0.	5.7713e-005
329	16.362	2.1818	0.	5.6622e-005
330	16.362	2.	0.	5.5377e-005
331	16.362	1.8182	0.	5.4052e-005
332	16.362	1.6364	0.	5.2724e-005
333	16.362	1.4545	0.	5.1465e-005
334	16.362	1.2727	0.	5.0339e-005
335	16.362	1.0909	0.	4.9394e-005
336	16.362	0.90909	0.	4.8665e-005
337	16.362	0.72727	0.	4.8175e-005
338	16.362	0.54545	0.	4.7942e-005
339	16.362	0.36364	0.	4.7966e-005
340	16.362	0.18182	0.	4.8274e-005
341	16.178	5.8182	0.	5.1147e-005
342	16.178	5.6364	0.	5.0846e-005
343	16.178	5.4545	0.	5.0789e-005
344	16.178	5.2727	0.	5.0951e-005
345	16.178	5.0909	0.	5.1329e-005
346	16.178	4.9091	0.	5.1905e-005
347	16.178	4.7273	0.	5.2657e-005
348	16.178	4.5455	0.	5.355e-005
349	16.178	4.3636	0.	5.4545e-005
350	16.178	4.1818	0.	5.5591e-005
351	16.178	4.	0.	5.6631e-005
352	16.178	3.8182	0.	5.7607e-005
353	16.178	3.6364	0.	5.8463e-005
354	16.178	3.4545	0.	5.915e-005
355	16.178	3.2727	0.	5.963e-005
356	16.178	3.0909	0.	5.9876e-005
357	16.178	2.9091	0.	5.9876e-005
358	16.178	2.7273	0.	5.963e-005
359	16.178	2.5455	0.	5.915e-005
360	16.178	2.3636	0.	5.8463e-005
361	16.178	2.1818	0.	5.7607e-005
362	16.178	2.	0.	5.6631e-005
363	16.178	1.8182	0.	5.5591e-005
364	16.178	1.6364	0.	5.4545e-005
365	16.178	1.4545	0.	5.355e-005
366	16.178	1.2727	0.	5.2657e-005
367	16.178	1.0909	0.	5.1905e-005
368	16.178	0.90909	0.	5.1329e-005
369	16.178	0.72727	0.	5.0951e-005
370	16.178	0.54545	0.	5.0789e-005
371	16.178	0.36364	0.	5.0846e-005
372	16.178	0.18182	0.	5.1147e-005
373	15.994	5.8182	0.	5.3781e-005
374	15.994	5.6364	0.	5.3492e-005
375	15.994	5.4545	0.	5.341e-005
376	15.994	5.2727	0.	5.3513e-005
377	15.994	5.0909	0.	5.3797e-005
378	15.994	4.9091	0.	5.4244e-005
379	15.994	4.7273	0.	5.4835e-005
380	15.994	4.5455	0.	5.5539e-005
381	15.994	4.3636	0.	5.6322e-005
382	15.994	4.1818	0.	5.7144e-005
383	15.994	4.	0.	5.796e-005
384	15.994	3.8182	0.	5.8726e-005
385	15.994	3.6364	0.	5.9397e-005
386	15.994	3.4545	0.	5.9936e-005
387	15.994	3.2727	0.	6.0314e-005
388	15.994	3.0909	0.	6.0508e-005
389	15.994	2.9091	0.	6.0508e-005
390	15.994	2.7273	0.	6.0314e-005
391	15.994	2.5455	0.	5.9936e-005
392	15.994	2.3636	0.	5.9397e-005
393	15.994	2.1818	0.	5.8726e-005
394	15.994	2.	0.	5.796e-005
395	15.994	1.8182	0.	5.7144e-005
396	15.994	1.6364	0.	5.6322e-005
397	15.994	1.4545	0.	5.5539e-005
398	15.994	1.2727	0.	5.4835e-005
399	15.994	1.0909	0.	5.4244e-005
400	15.994	0.90909	0.	5.3797e-005
401	15.994	0.72727	0.	5.3513e-005
402	15.994	0.54545	0.	5.341e-005
403	15.994	0.36364	0.	5.3492e-005
404	15.994	0.18182	0.	5.3781e-005
405	15.81	5.8182	0.	5.6215e-005
406	15.81	5.6364	0.	5.5941e-005
407	15.81	5.4545	0.	5.5842e-005
408	15.81	5.2727	0.	5.5897e-005
409	15.81	5.0909	0.	5.6103e-005
410	15.81	4.9091	0.	5.6445e-005
411	15.81	4.7273	0.	5.6903e-005
412	15.81	4.5455	0.	5.7453e-005
413	15.81	4.3636	0.	5.8067e-005
414	15.81	4.1818	0.	5.8711e-005
415	15.81	4.	0.	5.935e-005
416	15.81	3.8182	0.	5.995e-005
417	15.81	3.6364	0.	6.0476e-005
418	15.81	3.4545	0.	6.0899e-005
419	15.81	3.2727	0.	6.1195e-005
420	15.81	3.0909	0.	6.1347e-005
421	15.81	2.9091	0.	6.1347e-005
422	15.81	2.7273	0.	6.1195e-005
423	15.81	2.5455	0.	6.0899e-005
