Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
189,18.167,4.5,0.1,0.00016326,1631.4,0.0001567,1523.7,-2.5796e-05,152.44,-8.3428e-05,-280.59,1.4335
190,18.167,4,0.1,0.00046544,4651.2,0.00046772,4786.5,-0.00010275,500.24,-0.00019051,-159.17,1.4349
191,18,4,0.1,0.00034323,3429.9,0.00034056,3439.8,-6.704e-05,377.33,-0.0001527,-266.3,1.4128
192,18,4.5,0.1,0.00026276,2625.7,0.00022999,1952.7,-3.2504e-05,-19.542,-0.00016668,-1027.7,1.4109
193,18,5,0.1,0.0001655,1653.8,0.00014091,1254.7,-1.4174e-06,185.31,-0.00011262,-650.21,1.4088
194,18,5.5,0.1,3.9403e-05,393.75,4.3968e-05,530.48,-5.7975e-06,156.56,-1.0729e-05,119.5,1.4066
195,18.167,6,0.1,2.9961e-05,299.4,3.2198e-05,387.86,2.7249e-07,147.98,-1.246e-05,52.313,1.4305
196,19.139,6,0.1,5.3223e-05,531.87,5.2706e-05,518.61,-1.5426e-05,6.7,-2.0468e-05,-31.184,1.5643
197,20.111,6,0.1,6.6125e-05,660.79,6.5084e-05,630.54,-2.1686e-05,-21.423,-2.3993e-05,-38.754,1.699
198,21.083,6,0.1,5.5669e-05,556.3,5.5083e-05,539.42,-1.787e-05,-8.717,-1.9997e-05,-24.701,1.835
199,22.056,6,0.1,4.0851e-05,408.23,3.9186e-05,365.57,-1.0771e-05,-9.7843,-1.866e-05,-69.059,1.9719
200,23.028,6,0.1,2.1166e-05,211.51,1.9856e-05,181.46,-4.4345e-06,-1.0487,-1.0996e-05,-50.351,2.1095
201,24,6,0.1,1.1819e-05,118.1,1.0202e-05,92.884,-8.4845e-08,15.592,-7.8918e-06,-43.066,2.2475
202,24,4.8,0.1,1.6635e-05,166.23,1.5144e-05,151.07,2.4494e-07,39.12,-1.0277e-05,-39.939,2.2482
203,24,3.6,0.1,1.8192e-05,181.79,1.649e-05,159.73,-3.3786e-07,33.296,-1.1238e-05,-48.604,2.2485
204,24,2.4,0.1,1.7937e-05,179.24,1.6362e-05,158.08,-6.3223e-07,30.396,-1.091e-05,-46.829,2.2486
205,24,1.2,0.1,1.5356e-05,153.45,1.4121e-05,142.05,1.2364e-07,36.884,-9.3143e-06,-34.029,2.2483
206,1.049e-14,1.2,0.1,0.00039177,3915,0.00052195,7741.3,3.5157e-06,3846,-1.6998e-06,3806.8,0
207,2.0981e-14,2.4,0.1,0.00041307,4127.9,0.00055065,8171.6,3.5887e-06,4061.2,-1.0373e-06,4026.5,0
208,3.1471e-14,3.6,0.1,0.00041265,4123.7,0.00055005,8162.3,4.2193e-06,4061.2,-1.7282e-06,4016.5,0
209,4.1961e-14,4.8,0.1,0.00039411,3938.4,0.00052468,7776.4,3.8661e-06,3863.2,-2.7837e-06,3813.2,0
210,3.937e-14,6,0.1,0.00031884,3186.2,0.00040247,5668.8,1.881e-06,2658.9,-4.1685e-05,2331.6,0
211,1.28,6,0.1,0.00057044,5700.5,0.00055745,5455.6,-0.00012315,341.89,-0.00026055,-690.48,0.0062226
212,2.56,6,0.1,0.00057858,5781.8,0.0005899,6126.9,-0.00015776,509.3,-0.00019975,193.78,0.02904
213,3.84,6,0.1,0.00053531,5349.4,0.00053926,5469.4,-0.00016104,207.68,-0.00018382,36.497,0.070827
214,5.12,6,0.1,0.00048817,4878.3,0.00049114,4966.9,-0.00015179,136.2,-0.00016429,42.306,0.13029
215,6.4,6,0.1,0.00044622,4459.2,0.00044762,4500.6,-0.00014202,70.294,-0.00014962,13.186,0.20584
216,7.68,6,0.1,0.00040695,4066.7,0.00040747,4081.9,-0.00013255,24.428,-0.000135,6.0131,0.29607
217,8.96,6,0.1,0.00036928,3690.3,0.00036917,3686.8,-0.00012126,1.9454,-0.0001227,-8.8256,0.39962
218,10.24,6,0.1,0.00033288,3326.5,0.00033236,3311.5,-0.00010868,-2.3278,-0.00011202,-27.411,0.51524
219,11.52,6,0.1,0.00029738,2971.8,0.00029656,2947.9,-9.649e-05,-5.3498,-0.00010139,-42.147,0.64172
220,12.8,6,0.1,0.00026231,2621.3,0.00026122,2590,-8.4451e-05,-7.2627,-9.0758e-05,-54.651,0.77786
221,14.08,6,0.1,0.00022655,2263.9,0.00022493,2217.4,-7.2292e-05,-15.76,-8.0312e-05,-76.016,0.9225
222,15.36,6,0.1,0.00018525,1851.3,0.00018306,1788.5,-5.8658e-05,-27.68,-6.7757e-05,-96.046,1.0745
223,16.64,6,0.1,0.00013628,1361.9,0.00013157,1236.5,-3.8367e-05,-40.349,-5.9206e-05,-196.93,1.2323
224,17.36,6,0.1,7.5177e-05,751.26,7.3603e-05,737.83,-1.1948e-05,95.03,-3.6314e-05,-88.046,1.3231
